V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2005 1 0.5 101300 298.415 0.00979017 4.96 0 0 -9999.99 -54.288
2005 1 1 101300 298.47 0.00983226 5.49 0 0 -9999.99 -53.3395
2005 1 1.5 101300 298.43 0.00997772 5.535 0 0 -9999.99 -55.0655
2005 1 2 101300 298.1 0.00987607 5.44 0 0 -9999.99 -50.8755
2005 1 2.5 101300 297.84 0.00946805 5.705 0 0 -9999.99 -54.6815
2005 1 3 101300 297.51 0.00981112 5.66 0 0 -9999.99 -52.3095
2005 1 3.5 101300 297.105 0.0103952 6.665 0 0 -9999.99 -55.7375
2005 1 4 101300 297.08 0.0106021 6.51 0 0 -9999.99 -56.8685
2005 1 4.5 101300 296.155 0.00996973 5.985 0 0 -9999.99 -60.342
2005 1 5 101300 294.9 0.00998163 4.86 0 3.701 -9999.99 -45.4485
2005 1 5.5 101300 294.265 0.0104604 4.42 0 5.838 -9999.99 -41.18
2005 1 6 101300 293.62 0.0098146 3.39 0 11.9045 -9999.99 -67.158
2005 1 6.5 101300 293.51 0.00993855 3.385 0 24.419 -9999.99 -52.3265
2005 1 7 101300 293.585 0.0101763 2.94 0 50.4735 -9999.99 -12.567
2005 1 7.5 101300 293.88 0.0100019 2.12 0 63.582 -9999.99 2.3615
2005 1 8 101300 293.62 0.00948671 2.09 0 100.604 -9999.99 22.7345
2005 1 8.5 101300 293.855 0.00920375 3.01 0 141.75 -9999.99 63.706
2005 1 9 101300 293.795 0.0094682 3.545 0 193.868 -9999.99 158.434
2005 1 9.5 101300 293.905 0.00955483 3.64 0 230.841 -9999.99 226.543
2005 1 10 101300 294.42 0.00984323 4.19 0 212.065 -9999.99 216.029
2005 1 10.5 101300 294.615 0.0099092 4.695 0 208.496 -9999.99 178.381
2005 1 11 101300 295.26 0.0103564 4.35 0 240.362 -9999.99 230.278
2005 1 11.5 101300 295.685 0.0107274 5.36 0 275.714 -9999.99 238.463
2005 1 12 101300 295.55 0.0106008 5.26 0 284.896 -9999.99 258.262
2005 1 12.5 101300 295.435 0.0104788 4.81 0 298.74 -9999.99 226.394
2005 1 13 101300 294.465 0.0106376 5.4 0 290.864 -9999.99 20.797
2005 1 13.5 101300 293.525 0.0103955 4.72 0 303.939 -9999.99 0.393002
2005 1 14 101300 293.465 0.01078 4.11 0 321.456 -9999.99 86.3355
