V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2005 1 0.5 101300 277.535 0.00449596 4.10278 0 -1.96 -9999.99 -63.281
2005 1 1 101300 277.24 0.00442877 4.24046 0 -0.707 -9999.99 -23.866
2005 1 1.5 101300 277.033 0.00435457 4.01549 0 -1.414 -9999.99 -53.819
2005 1 2 101300 276.926 0.00431682 4.28519 0 -0.9 -9999.99 -31.743
2005 1 2.5 101300 276.824 0.00430052 4.33178 0 -0.835 -9999.99 -28.274
2005 1 3 101300 276.53 0.00424551 3.9617 0 -1.832 -9999.99 -62.976
2005 1 3.5 101300 276.2 0.00418002 3.87322 0 -2.603 -9999.99 -85.607
2005 1 4 101300 275.734 0.0041207 4.26481 0 -2.506 -9999.99 -78.671
2005 1 4.5 101300 275.734 0.00416157 4.32702 0 -1.607 -9999.99 -61.727
2005 1 5 101300 275.882 0.00418739 4.68953 0 -1.189 -9999.99 -51.086
2005 1 5.5 101300 276.045 0.00420846 4.88723 0 -0.45 -9999.99 -21.304
2005 1 6 101300 276.343 0.00427964 4.59185 0 -0.225 -9999.99 -6.008
2005 1 6.5 101300 276.458 0.00441994 4.86809 0 0.032 -9999.99 -4.242
2005 1 7 101300 276.752 0.00451792 5.60993 0 0.321 -9999.99 -4.82
2005 1 7.5 101300 277.133 0.00463626 4.76188 0 0 -9999.99 -3.342
2005 1 8 101300 277.702 0.00481016 4.8092 0 0.835 -9999.99 -2.379
2005 1 8.5 101300 278.143 0.00494512 5.31035 0 3.149 -9999.99 -0.289
2005 1 9 101300 278.302 0.00498955 4.8381 0 25.25 -9999.99 17.796
2005 1 9.5 101300 278.506 0.00507776 4.41546 0 27.66 -9999.99 19.692
2005 1 10 101300 278.682 0.0051293 4.29661 0 48.67 -9999.99 35.206
2005 1 10.5 101300 278.878 0.00519414 3.77109 0 55.22 -9999.99 39.51
2005 1 11 101300 278.992 0.00528696 4.02016 0 72.1 -9999.99 60.277
2005 1 11.5 101300 279.346 0.00539511 3.68634 0 158.9 -9999.99 131.914
2005 1 12 101300 279.817 0.00542858 3.70246 0 131.3 -9999.99 105.083
2005 1 12.5 101300 279.598 0.00537086 3.87062 0 26.02 -9999.99 17.25
2005 1 13 101300 279.355 0.00533984 3.27577 0 120.1 -9999.99 86.246
2005 1 13.5 101300 279.924 0.00544445 3.38378 0 187 -9999.99 119.445
2005 1 14 101300 279.993 0.00542141 3.50087 0 110.4 -9999.99 31.713
2005 1 14.5 101300 280.42 0.00550746 2.71274 0 186 -9999.99 114.422
2005 1 15 101300 280.074 0.00534087 2.6807 0 67.75 -9999.99 32.386
2005 1 15.5 101300 279.49 0.00534268 2.32348 0 6.521 -9999.99 -0.321
2005 1 16 101300 279.18 0.00531594 2.90897 0 3.919 -9999.99 -16.027
2005 1 16.5 101300 278.911 0.00524588 2.46696 0 -0.642 -9999.99 -39.185
2005 1 17 101300 278.659 0.00516018 2.49629 0 -2.056 -9999.99 -32.794
2005 1 17.5 101300 278.515 0.00510307 2.29698 0 -1.028 -9999.99 -9.893
2005 1 18 101300 278.484 0.005081 2.43034 0 -0.835 -9999.99 -6.04
2005 1 18.5 101300 278.533 0.00507073 2.56237 0 -0.771 -9999.99 -8.58
2005 1 19 101300 278.569 0.00510013 3.01665 0 -0.964 -9999.99 -5.204
2005 1 19.5 101300 278.711 0.00508923 3.1301 0 -0.964 -9999.99 -5.494
2005 1 20 101300 278.863 0.00507541 2.94611 0 -0.996 -9999.99 -9.99
2005 1 20.5 101300 278.809 0.00506201 2.72666 0 -0.964 -9999.99 -8.477
2005 1 21 101300 278.629 0.00507694 2.85761 0 -0.932 -9999.99 -4.787
2005 1 21.5 101300 278.168 0.00494838 4.03242 0 -0.353 -9999.99 -6.135
2005 1 22 101300 277.45 0.00462817 4.1879 0 -0.257 -9999.99 -7.769
2005 1 22.5 101300 277.029 0.00447285 4.27792 0 0 -9999.99 -5.268
2005 1 23 101300 276.969 0.00445392 3.93702 0 0 -9999.99 -5.623
2005 1 23.5 101300 276.942 0.00445038 3.7774 0 -0.418 -9999.99 -10.061
2005 2 0 101300 276.945 0.00445628 3.60343 0 -0.3535 -9999.99 -12.0855
2005 2 0.5 101300 276.933 0.00444755 3.63636 0 -0.129 -9999.99 -10.287
