V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2002 1 0.5 101300 296.865 0.0175284 0.72 0.000282222 0 -9999.99 -14.7981
2002 1 1 101300 296.876 0.0175144 0.82334 0 0 -9999.99 -3.769
2002 1 1.5 101300 297.07 0.0173102 2.135 0 0 -9999.99 -15.1439
2002 1 2 101300 296.925 0.0173985 1.8885 0 0 -9999.99 -5.196
2002 1 2.5 101300 296.78 0.0174838 1.642 0 0 -9999.99 -4.246
2002 1 3 101300 296.587 0.0173163 1.6505 0 0 -9999.99 -3.296
2002 1 3.5 101300 296.395 0.01715 1.659 0 0 -9999.99 -3.862
2002 1 4 101300 296.352 0.0170744 1.146 0 0 -9999.99 -4.428
2002 1 4.5 101300 296.31 0.016999 0.633 0 0 -9999.99 -4.599
2002 1 5 101300 296.305 0.0169805 0.6705 0 0 -9999.99 -4.77
2002 1 5.5 101300 296.3 0.016962 0.708 0 0 -9999.99 -3.7065
2002 1 6 101300 296.307 0.0169876 0.668 0 4.9665 -9999.99 -2.643
2002 1 6.5 101300 296.315 0.0170131 0.628 0 9.933 -9999.99 1.4015
2002 1 7 101300 296.422 0.0171295 0.9005 0 56.964 -9999.99 5.446
2002 1 7.5 101300 296.53 0.0172467 1.173 0 103.995 -9999.99 48.6005
2002 1 8 101300 297.18 0.0174168 1.3125 0 216.273 -9999.99 91.755
2002 1 8.5 101300 297.83 0.0175693 1.452 0 328.55 -9999.99 190.268
2002 1 9 101300 298.553 0.0176324 1.464 0 388.1 -9999.99 288.78
2002 1 9.5 101300 299.275 0.0176625 1.476 0 447.65 -9999.99 335.448
2002 1 10 101300 299.87 0.0176943 1.3125 0 535.775 -9999.99 382.115
2002 1 10.5 101300 300.465 0.0177029 1.149 0 623.9 -9999.99 461.26
2002 1 11 101300 301.235 0.0178579 0.8905 0 605.175 -9999.99 540.405
2002 1 11.5 101300 302.005 0.0179847 0.632 0 586.45 -9999.99 527.738
2002 1 12 101300 302.105 0.0179898 0.7535 0 509.175 -9999.99 515.071
2002 1 12.5 101300 302.205 0.0179943 0.875 0 431.9 -9999.99 441.201
2002 1 13 101300 302.823 0.0178863 0.8835 0 527.275 -9999.99 367.33
2002 1 13.5 101300 303.44 0.0177436 0.892 0 622.65 -9999.99 452.84
2002 1 14 101300 303.788 0.0176153 0.8695 0 601.525 -9999.99 538.35
2002 1 14.5 101300 304.135 0.0174738 0.847 0 580.4 -9999.99 521.443
2002 1 15 101300 303.647 0.017955 1.2715 0 508.6 -9999.99 504.535
2002 1 15.5 101300 303.16 0.0183948 1.696 0 436.8 -9999.99 433.717
2002 1 16 101300 303.303 0.0183108 1.397 0 376.075 -9999.99 362.9
2002 1 16.5 101300 303.445 0.0182241 1.098 0 315.35 -9999.99 300.96
2002 1 17 101300 303.085 0.018224 1.387 0 212.8 -9999.99 239.02
2002 1 17.5 101300 302.725 0.0182153 1.676 0 110.25 -9999.99 149.87
2002 1 18 101300 301.723 0.0180539 2.206 0 59.5625 -9999.99 60.721
2002 1 18.5 101300 300.72 0.0178445 2.736 0 8.875 -9999.99 22.1125
2002 1 19 101300 299.06 0.0177675 2.9275 0.00296333 4.4375 -9999.99 -16.496
2002 1 19.5 101300 297.4 0.017527 3.119 0.00296333 0 -9999.99 -10.62
2002 1 20 101300 297.137 0.0175309 1.8305 0.000211667 0.0015 -9999.99 -4.744
2002 1 20.5 101300 296.875 0.0175298 0.542 0.000211667 0.003 -9999.99 -3.6435
2002 1 21 101300 296.883 0.0175654 1.1815 0.00134056 0.0015 -9999.99 -2.543
2002 1 21.5 101300 296.89 0.0176011 1.821 0.00134056 0 -9999.99 -2.854
2002 1 22 101300 296.145 0.016811 2.1965 0.0100194 0.029 -9999.99 -3.165
2002 1 22.5 101300 295.4 0.0160525 2.572 0.0100194 0.058 -9999.99 -2.269
2002 1 23 101300 295.567 0.0162907 2.0995 0.00127 0.029 -9999.99 -1.373
2002 1 23.5 101300 295.735 0.0165318 1.627 0.00127 0 -9999.99 -2.264
