V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2005 1 0.5 101300 278.021 0.00363594 -9999.99 0 -0.016 -9999.99 -0.275
2005 1 1 101300 277.728 0.00356357 -9999.99 0 0.141 -9999.99 1.4545
2005 1 1.5 101300 278.467 0.00375715 -9999.99 0 -0.005 -9999.99 0.354
2005 1 2 101300 278.472 0.00376011 -9999.99 0 0.191 -9999.99 1.2635
2005 1 2.5 101300 278.964 0.00389289 -9999.99 0 0.17 -9999.99 0.271
2005 1 3 101300 279.639 0.00408473 -9999.99 0 -0.013 -9999.99 0.0625
2005 1 3.5 101300 279.747 0.00411893 -9999.99 0 -0.144 -9999.99 -0.0205
2005 1 4 101300 279.587 0.00407423 -9999.99 0 0.01 -9999.99 -0.393
2005 1 4.5 101300 279.594 0.00408394 -9999.99 0 -0.17 -9999.99 -0.2605
2005 1 5 101300 279.541 0.00407019 -9999.99 0 0.217 -9999.99 1.3
2005 1 5.5 101300 279.848 0.00415987 -9999.99 0 -0.233 -9999.99 0.304
2005 1 6 101300 280.17 0.00425384 -9999.99 0 -0.052 -9999.99 0.302
2005 1 6.5 101300 279.883 0.00417539 -9999.99 0 -0.157 -9999.99 -0.235
2005 1 7 101300 280.066 0.00422718 -9999.99 0 -0.005 -9999.99 0.361
2005 1 7.5 101300 280.14 0.00425187 -9999.99 0 0.029 -9999.99 1.166
2005 1 8 101300 280.56 0.00437895 -9999.99 0 0.039 -9999.99 1.3665
2005 1 8.5 101300 280.43 0.00434382 -9999.99 0 1.341 -9999.99 1.517
2005 1 9 101300 280.69 0.00442458 -9999.99 0 6.418 -9999.99 6.072
2005 1 9.5 101300 280.73 0.00444124 -9999.99 0 10.3 -9999.99 9.39
2005 1 10 101300 280.63 0.00441345 -9999.99 0 13.3 -9999.99 11.625
2005 1 10.5 101300 280.58 0.00440216 -9999.99 0 13.65 -9999.99 11.015
2005 1 11 101300 280.74 0.00445394 -9999.99 0 11.41 -9999.99 9.405
2005 1 11.5 101300 280.68 0.00443887 -9999.99 0 27.97 -9999.99 20.465
2005 1 12 101300 281.31 0.00465036 -9999.99 0 54.1 -9999.99 39.96
2005 1 12.5 101300 281.1 0.00457558 -9999.99 0 9.33 -9999.99 6.803
2005 1 13 101300 280.56 0.00440503 -9999.99 0 20.94 -9999.99 13.945
2005 1 13.5 101300 280.57 0.00440806 -9999.99 0 60.16 -9999.99 42.32
2005 1 14 101300 280.39 0.00435014 -9999.99 0 45.24 -9999.99 32.105
2005 1 14.5 101300 280.51 0.00438741 -9999.99 0 67.32 -9999.99 47.275
2005 1 15 101300 280.42 0.00435911 -9999.99 0 29.31 -9999.99 17.505
2005 1 15.5 101300 280.42 0.00435974 -9999.99 0 25.79 -9999.99 16.64
2005 1 16 101300 280.37 0.00434542 -9999.99 0 11.27 -9999.99 5.6485
2005 1 16.5 101300 280.19 0.00429009 -9999.99 0 10.36 -9999.99 4.6505
2005 1 17 101300 279.989 0.00422805 -9999.99 0 2.886 -9999.99 0.251
2005 1 17.5 101300 279.829 0.00417983 -9999.99 0 0.314 -9999.99 -2.5335
2005 1 18 101300 279.67 0.00413059 -9999.99 0 -0.456 -9999.99 -3.5875
2005 1 18.5 101300 279.647 0.00412403 -9999.99 0 -0.385 -9999.99 -3.3355
2005 1 19 101300 279.427 0.00405938 -9999.99 0 -0.649 -9999.99 -6.603
2005 1 19.5 101300 279.253 0.0040084 -9999.99 0 -0.464 -9999.99 -4.6785
2005 1 20 101300 279.204 0.00399712 -9999.99 0 -0.369 -9999.99 -2.9645
2005 1 20.5 101300 279.153 0.00398473 -9999.99 0 -0.22 -9999.99 -3.1175
2005 1 21 101300 279.235 0.00401153 -9999.99 0 -0.236 -9999.99 -2.876
2005 1 21.5 101300 279.237 0.00401441 -9999.99 0 -0.34 -9999.99 -2.352
2005 1 22 101300 279.14 0.00398402 -9999.99 0 -0.406 -9999.99 -6.094
2005 1 22.5 101300 278.941 0.00392705 -9999.99 0 -0.526 -9999.99 -6.7005
2005 1 23 101300 278.79 0.00388546 -9999.99 0 -0.608 -9999.99 -8.485
2005 1 23.5 101300 278.789 0.00388181 -9999.99 0 -0.539 -9999.99 -10.17
2005 2 0 101300 278.663 0.00385069 -9999.99 0 -0.736 -9999.99 -11.815
2005 2 0.5 101300 278.576 0.00382353 -9999.99 0 -1.343 -9999.99 -19.275
2005 2 1 101300 278.522 0.00380695 -9999.99 0 -0.718 -9999.99 -11.245
2005 2 1.5 101300 278.436 0.00378692 -9999.99 0 -0.073 -9999.99 -3.9705
2005 2 2 101300 278.92 0.00392019 -9999.99 0 0.327 -9999.99 -4.879
2005 2 2.5 101300 279.159 0.00399043 -9999.99 0 0.27 -9999.99 -12.645
2005 2 3 101300 278.21 0.00371678 -9999.99 0 -2.791 -9999.99 -44.23
2005 2 3.5 101300 277.797 0.00359872 -9999.99 0 -2.6 -9999.99 -27.82
2005 2 4 101300 277.415 0.00350034 -9999.99 0 -2.886 -9999.99 -25.325
2005 2 4.5 101300 276.684 0.00331944 -9999.99 0 -2.506 -9999.99 -18.805
2005 2 5 101300 277.136 0.00344372 -9999.99 0 -0.49 -9999.99 -2.8935
2005 2 5.5 101300 277.51 0.00354131 -9999.99 0 -0.644 -9999.99 -3.1905
2005 2 6 101300 277.365 0.0035023 -9999.99 0 -0.924 -9999.99 -5.02
2005 2 6.5 101300 277.236 0.00347163 -9999.99 0 -0.736 -9999.99 -5.0375
2005 2 7 101300 277.01 0.0034182 -9999.99 0 -1.037 -9999.99 -7.75
2005 2 7.5 101300 276.774 0.0033558 -9999.99 0 -1.498 -9999.99 -11.695
2005 2 8 101300 276.8 0.00336148 -9999.99 0 -0.257 -9999.99 -2.155
2005 2 8.5 101300 277.041 0.00342121 -9999.99 0 1.451 -9999.99 -4.761
2005 2 9 101300 276.879 0.00338524 -9999.99 0 7.55 -9999.99 4.097
2005 2 9.5 101300 277.135 0.0034515 -9999.99 0 20.1 -9999.99 10.07
2005 2 10 101300 277.207 0.00347108 -9999.99 0 26.18 -9999.99 12.57
2005 2 10.5 101300 277.33 0.00350739 -9999.99 0 70.6 -9999.99 45.075
2005 2 11 101300 278.195 0.00373664 -9999.99 0 111 -9999.99 82.8
2005 2 11.5 101300 278.304 0.00376468 -9999.99 0 67.39 -9999.99 50.93
2005 2 12 101300 278.27 0.0037552 -9999.99 0 52.23 -9999.99 38.995
2005 2 12.5 101300 278.456 0.0038065 -9999.99 0 62.84 -9999.99 45.09
2005 2 13 101300 278.705 0.0038754 -9999.99 0 73.4 -9999.99 52.485
2005 2 13.5 101300 279.131 0.00399594 -9999.99 0 116.5 -9999.99 82.45
2005 2 14 101300 279.745 0.00417611 -9999.99 0 162.2 -9999.99 113
2005 2 14.5 101300 279.782 0.00418377 -9999.99 0 167 -9999.99 109.25
2005 2 15 101300 280.107 0.00427983 -9999.99 0 276.6 -9999.99 165.7
2005 2 15.5 101300 280.141 0.00428059 -9999.99 0 264.6 -9999.99 140.25
2005 2 16 101300 279.495 0.00408503 -9999.99 0 108.5 -9999.99 32.305
2005 2 16.5 101300 278.516 0.00380977 -9999.99 0 51.43 -9999.99 -6.2185
2005 2 17 101300 277.91 0.00364641 -9999.99 0 25.75 -9999.99 -13.52
2005 2 17.5 101300 277.602 0.00356377 -9999.99 0 3.988 -9999.99 -24.06
2005 2 18 101300 277.763 0.003598 -9999.99 0 -2.137 -9999.99 -23.78
2005 2 18.5 101300 277.737 0.0035904 -9999.99 0 -2.524 -9999.99 -20.165
2005 2 19 101300 277.221 0.00346241 -9999.99 0 -2.585 -9999.99 -17.9
2005 2 19.5 101300 277.371 0.00350021 -9999.99 0 -2.509 -9999.99 -15.39
2005 2 20 101300 277.515 0.00353946 -9999.99 0 -2.409 -9999.99 -15.725
2005 2 20.5 101300 277.363 0.00350282 -9999.99 0 -2.383 -9999.99 -16.365
2005 2 21 101300 277.014 0.00341917 -9999.99 0 -1.899 -9999.99 -13.645
2005 2 21.5 101300 276.667 0.0033329 -9999.99 0 -2.08 -9999.99 -16.695
2005 2 22 101300 276.09 0.00319171 -9999.99 0 -2.611 -9999.99 -21.78
2005 2 22.5 101300 275.2 0.00298733 -9999.99 0 -2.97 -9999.99 -22.815
2005 2 23 101300 275 0.00294478 -9999.99 0 -1.875 -9999.99 -14.36
2005 2 23.5 101300 275.477 0.00305606 -9999.99 0 -2.082 -9999.99 -15.84
2005 3 0 101300 274.397 0.00282385 -9999.99 0 -2.664 -9999.99 -21.945
2005 3 0.5 101300 274.375 0.00280826 -9999.99 0 -2.497 -9999.99 -21.555
2005 3 1 101300 274.286 0.00278742 -9999.99 0 -2.798 -9999.99 -19.535
2005 3 1.5 101300 274.981 0.0029442 -9999.99 0 -2.541 -9999.99 -6.314
2005 3 2 101300 275.562 0.00307962 -9999.99 0 -2.114 -9999.99 -6.1425
2005 3 2.5 101300 275.338 0.00303552 -9999.99 0 -0.88 -9999.99 -2.9155
2005 3 3 101300 275.195 0.00300284 -9999.99 0 -0.613 -9999.99 -3.1315
2005 3 3.5 101300 275.193 0.00300241 -9999.99 0 -0.859 -9999.99 -3.4375
2005 3 4 101300 275.083 0.00297969 -9999.99 0 -0.469 -9999.99 -3.231
2005 3 4.5 101300 275.175 0.00299985 -9999.99 0 -0.27 -9999.99 -3.6185
2005 3 5 101300 275.267 0.00302057 -9999.99 0 -0.327 -9999.99 -3.596
2005 3 5.5 101300 275.496 0.00307226 -9999.99 0 -0.443 -9999.99 -4.4615
2005 3 6 101300 275.586 0.00309298 -9999.99 0 -0.571 -9999.99 -6.6125
2005 3 6.5 101300 275.682 0.00311426 -9999.99 0 -0.54 -9999.99 -5.2555
2005 3 7 101300 275.961 0.00317914 -9999.99 0 -1.095 -9999.99 -11.365
2005 3 7.5 101300 275.542 0.00308014 -9999.99 0 -0.972 -9999.99 -11.035
2005 3 8 101300 275.628 0.00310272 -9999.99 0 -0.427 -9999.99 -5.5775
2005 3 8.5 101300 275.585 0.00309366 -9999.99 0 0.147 -9999.99 -6.3095
2005 3 9 101300 275.478 0.00306964 -9999.99 0 10.16 -9999.99 -3.9495
2005 3 9.5 101300 275.747 0.00313101 -9999.99 0 31.89 -9999.99 8.881
2005 3 10 101300 276.157 0.0032294 -9999.99 0 72.9 -9999.99 33.435
2005 3 10.5 101300 276.629 0.00334666 -9999.99 0 101.2 -9999.99 52.325
2005 3 11 101300 276.678 0.00335199 -9999.99 0 89.5 -9999.99 35.905
2005 3 11.5 101300 277.628 0.0035983 -9999.99 0 193.7 -9999.99 111.3
2005 3 12 101300 278.94 0.00395067 -9999.99 0 250.2 -9999.99 151.8
2005 3 12.5 101300 279.908 0.00422883 -9999.99 0 330.8 -9999.99 202.7
2005 3 13 101300 281.25 0.00462803 -9999.99 0 482.8 -9999.99 318.6
2005 3 13.5 101300 280.49 0.00439785 -9999.99 0 196.6 -9999.99 112.45
2005 3 14 101300 280.39 0.00438598 -9999.99 0 155.5 -9999.99 85.9
2005 3 14.5 101300 280.18 0.0043169 -9999.99 0 125 -9999.99 74.1
2005 3 15 101300 280.22 0.00433252 -9999.99 0 149.1 -9999.99 86.6
2005 3 15.5 101300 280.61 0.00445529 -9999.99 0 100.8 -9999.99 61.32
2005 3 16 101300 280.21 0.00433017 -9999.99 0 53.93 -9999.99 31.515
2005 3 16.5 101300 279.788 0.00420662 -9999.99 0 41.44 -9999.99 20.285
2005 3 17 101300 279.518 0.00412707 -9999.99 0 21.5 -9999.99 8.252
2005 3 17.5 101300 278.898 0.00394652 -9999.99 0 2.344 -9999.99 -5.485
2005 3 18 101300 278.494 0.00382764 -9999.99 0 -0.867 -9999.99 -8.82
2005 3 18.5 101300 278.261 0.00376315 -9999.99 0 -1.438 -9999.99 -13.61
2005 3 19 101300 278.207 0.00374464 -9999.99 0 -1.398 -9999.99 -16.58
2005 3 19.5 101300 277.829 0.00363838 -9999.99 0 -1.812 -9999.99 -30.385
2005 3 20 101300 277.467 0.00354087 -9999.99 0 -2.171 -9999.99 -39.38
2005 3 20.5 101300 277.217 0.00347403 -9999.99 0 -1.883 -9999.99 -35.93
2005 3 21 101300 277.08 0.00344512 -9999.99 0 -0.731 -9999.99 -21.815
2005 3 21.5 101300 277.023 0.00343079 -9999.99 0 -1.495 -9999.99 -35.255
2005 3 22 101300 276.807 0.00337 -9999.99 0 -1.765 -9999.99 -36.075
2005 3 22.5 101300 276.903 0.00339887 -9999.99 0 -1.535 -9999.99 -31.25
2005 3 23 101300 276.433 0.0032838 -9999.99 0 -1.849 -9999.99 -35.13
2005 3 23.5 101300 276.155 0.00321819 -9999.99 0 -2.577 -9999.99 -47.635
2005 4 0 101300 275.806 0.00313418 -9999.99 0 -2.75 -9999.99 -48.93
2005 4 0.5 101300 275.925 0.00315812 -9999.99 0 -2.57 -9999.99 -47.34
2005 4 1 101300 275.974 0.00317331 -9999.99 0 -2.567 -9999.99 -47.395
2005 4 1.5 101300 276.025 0.00318671 -9999.99 0 -2.617 -9999.99 -48.39
2005 4 2 101300 276.096 0.00320239 -9999.99 0 -2.575 -9999.99 -49.52
2005 4 2.5 101300 276.053 0.00319353 -9999.99 0 -2.512 -9999.99 -48.855
2005 4 3 101300 275.928 0.00316431 -9999.99 0 -2.541 -9999.99 -48.42
2005 4 3.5 101300 275.871 0.00315286 -9999.99 0 -2.355 -9999.99 -45.835
2005 4 4 101300 275.93 0.00316706 -9999.99 0 -2.098 -9999.99 -41.215
2005 4 4.5 101300 276.098 0.00320703 -9999.99 0 -1.632 -9999.99 -32.765
2005 4 5 101300 276.275 0.00325188 -9999.99 0 -1.31 -9999.99 -26.05
2005 4 5.5 101300 276.325 0.00326109 -9999.99 0 -1.378 -9999.99 -25.775
2005 4 6 101300 276.351 0.00326996 -9999.99 0 -0.909 -9999.99 -16.865
2005 4 6.5 101300 276.486 0.00330287 -9999.99 0 -0.92 -9999.99 -18.075
2005 4 7 101300 276.258 0.0032456 -9999.99 0 -1.684 -9999.99 -31.005
2005 4 7.5 101300 276.117 0.00320717 -9999.99 0 -1.658 -9999.99 -32.095
2005 4 8 101300 276.194 0.003229 -9999.99 0 -1.624 -9999.99 -32.715
2005 4 8.5 101300 276.043 0.00319126 -9999.99 0 0.406 -9999.99 -31.31
2005 4 9 101300 276.091 0.00320683 -9999.99 0 15.37 -9999.99 -17.975
2005 4 9.5 101300 275.901 0.00316787 -9999.99 0 40.55 -9999.99 2.351
2005 4 10 101300 276.731 0.00336849 -9999.99 0 89.6 -9999.99 38.34
2005 4 10.5 101300 277.387 0.00353935 -9999.99 0 122 -9999.99 70.67
