V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2002 1 0.5 101300 277.855 0.00521345 1.71143 0 0.609524 -9999.99 -22.4675
2002 1 1 101300 277.59 0.00511912 1.38744 0 0.406349 -9999.99 -15
2002 1 1.5 101300 277.415 0.00505631 1.73244 0 0.406349 -9999.99 -22.4351
2002 1 2 101300 277.045 0.00492887 1.60861 0 0.406349 -9999.99 -21.3961
2002 1 2.5 101300 276.75 0.00483611 1.42611 0 0.406349 -9999.99 -21.4286
2002 1 3 101300 276.72 0.00482881 1.56061 0 0.406349 -9999.99 -12.2727
2002 1 3.5 101300 276.74 0.00483416 1.62261 0 0.406349 -9999.99 -13.1169
2002 1 4 101300 276.77 0.00484271 1.63711 0 0.406349 -9999.99 -9.74026
2002 1 4.5 101300 276.9 0.00488131 1.36411 0 0.406349 -9999.99 -16.3312
2002 1 5 101300 276.715 0.00481591 1.49011 0 0.406349 -9999.99 -20.9416
2002 1 5.5 101300 276.62 0.00478773 1.47011 0 0.406349 -9999.99 -14.6429
2002 1 6 101300 276.55 0.00476714 1.56061 0 0.406349 -9999.99 -13.6039
2002 1 6.5 101300 276.425 0.00472568 1.64111 0 0.406349 -9999.99 -10.6818
2002 1 7 101300 276.31 0.00467672 1.71661 0 0.406349 -9999.99 -16.2662
2002 1 7.5 101300 276.04 0.00458512 1.27923 0 0.406349 -9999.99 -23.1169
2002 1 8 101300 275.785 0.00450821 1.38123 0 0.609524 -9999.99 -27.3701
2002 1 8.5 101300 275.8 0.00450094 1.18062 0 4.06349 -9999.99 -8.21429
2002 1 9 101300 275.82 0.00450176 1.16763 0 19.5048 -9999.99 3.66883
2002 1 9.5 101300 275.855 0.00449568 1.29325 0 32.7111 -9999.99 6.65584
2002 1 10 101300 275.705 0.00443083 1.69445 0 63.1873 -9999.99 41.0065
2002 1 10.5 101300 275.785 0.00445314 1.51631 0 77.8159 -9999.99 56.4935
2002 1 11 101300 276.07 0.00453854 1.5444 0 83.7079 -9999.99 63.9286
2002 1 11.5 101300 276.465 0.0046505 1.47512 0 84.1143 -9999.99 67.3701
