V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2004 1 0.5 101300 278.55 0.00448686 5.8 0 -1 -9999.99 -14
2004 1 1 101300 277.45 0.00452315 6.2 0 -1 -9999.99 -11
2004 1 1.5 101300 276.35 0.00464993 6.1 0.000527778 0 -9999.99 -5
2004 1 2 101300 275.75 0.0045347 5.9 0.000944444 0 -9999.99 -4
2004 1 2.5 101300 275.55 0.00447034 5.5 0.000611111 0 -9999.99 -4
2004 1 3 101300 276.25 0.00461661 5.7 0.000277778 0 -9999.99 -4
2004 1 3.5 101300 276.55 0.00480039 5.9 0.000194444 0 -9999.99 -4
2004 1 4 101300 277.25 0.0049594 5.9 0.000111111 -1 -9999.99 -3
2004 1 4.5 101300 277.15 0.00500861 5.6 0.000111111 -1 -9999.99 -4
2004 1 5 101300 277.25 0.00504408 5.9 0.000111111 0 -9999.99 -2
2004 1 5.5 101300 277.15 0.00500861 5.6 8.33333e-05 0 -9999.99 -3
2004 1 6 101300 277.35 0.00507978 5.1 5.55556e-05 0 -9999.99 -3
2004 1 6.5 101300 277.65 0.0051882 4.9 2.77778e-05 -1 -9999.99 -3
2004 1 7 101300 277.85 0.00526162 3.3 0 0 -9999.99 -2
2004 1 7.5 101300 277.85 0.00526162 1.6 2.77778e-05 0 -9999.99 -2
2004 1 8 101300 277.85 0.00526162 0.9 5.55556e-05 1 -9999.99 -7
2004 1 8.5 101300 277.65 0.0051882 0.3 2.77778e-05 14 -9999.99 -30
2004 1 9 101300 278.55 0.00552588 0.4 0 59 -9999.99 24
2004 1 9.5 101300 277.75 0.0052248 0.2 2.77778e-05 51 -9999.99 29
2004 1 10 101300 278.35 0.0054492 0.7 5.55556e-05 51 -9999.99 34
2004 1 10.5 101300 278.85 0.00564268 0.5 2.77778e-05 63 -9999.99 42
2004 1 11 101300 279.35 0.00566311 2.1 0 99 -9999.99 61
2004 1 11.5 101300 279.75 0.00591588 1.7 0 101 -9999.99 71
2004 1 12 101300 280.55 0.00588504 2.2 0 67 -9999.99 44
2004 1 12.5 101300 280.55 0.00597697 3.1 2.77778e-05 68 -9999.99 43
2004 1 13 101300 280.75 0.00597015 2.5 5.55556e-05 64 -9999.99 40
