V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2005 1 0.5 101300 282.35 0.00567059 2.5 0 -1.444 296.159 -55.196
2005 1 1 101300 282.25 0.00578959 2 0 -1.691 296.258 -54.844
2005 1 1.5 101300 282.05 0.00587385 2.1 0 -2.595 261.797 -87.234
2005 1 2 101300 281.85 0.00591292 2.3 0 -0.753 309.148 -38.809
2005 1 2.5 101300 281.55 0.00584799 1.6 0 -0.579 329.873 -17.938
2005 1 3 101300 281.35 0.00585623 0.8 0 -0.353 334.537 -12.934
2005 1 3.5 101300 281.45 0.00594373 1.2 0 -0.636 322.071 -25.74
2005 1 4 101300 281.85 0.0060382 2.3 0 -0.033 333.969 -15.946
2005 1 4.5 101300 282.25 0.00613283 2.5 0 -0.043 340.166 -11.253
2005 1 5 101300 282.45 0.00619468 2.6 0 -0.186 341.289 -11.121
2005 1 5.5 101300 282.55 0.00620752 2.9 0 -0.171 341.542 -11.482
2005 1 6 101300 282.75 0.00624754 2.8 0 -0.453 336.924 -16.675
2005 1 6.5 101300 282.85 0.00628983 2.1 0 -0.254 341.725 -11.995
2005 1 7 101300 282.85 0.00631962 1.7 0 -0.353 340.917 -13.199
2005 1 7.5 101300 282.95 0.00636237 1.6 0 -0.816 327.383 -26.66
2005 1 8 101300 282.95 0.00639236 2.3 0 -0.106 333.383 -20.123
2005 1 8.5 101300 282.85 0.00646116 2.3 0 4.386 342.304 -7.237
2005 1 9 101300 282.65 0.00659506 2.4 0 15.52 335.341 -3.793
2005 1 9.5 101300 282.65 0.0067127 2.8 0 22.06 333.882 0.397
2005 1 10 101300 283.05 0.00683584 3.1 0 45.89 342.427 27.794
2005 1 10.5 101300 283.55 0.00694446 3.5 0 41.06 347.09 26.385
2005 1 11 101300 283.85 0.00706154 3.3 0 57.86 348.825 41.415
2005 1 11.5 101300 284.05 0.00694658 3.9 0 90.1 339.473 59.329
2005 1 12 101300 284.25 0.0069008 4.1 0 74.7 354.315 59.021
2005 1 12.5 101300 284.45 0.00715101 4 0 64.05 356.848 51.754
2005 1 13 101300 284.65 0.00749911 4.8 0 60.94 359.806 51.027
2005 1 13.5 101300 284.95 0.00787319 4.7 0 22.59 360.503 17.138
2005 1 14 101300 285.55 0.00802255 4.8 0 18.41 362.665 11.604
2005 1 14.5 101300 286.15 0.00809523 5.3 0 17.09 363.961 9.971
2005 1 15 101300 286.15 0.00830893 5.8 0 18.24 363.624 12.908
2005 1 15.5 101300 285.95 0.00816363 6.4 0.000111111 7.24 364.545 2.874
2005 1 16 101300 285.65 0.00813863 6 0 3.149 364.773 -0.026
2005 1 16.5 101300 285.65 0.00807569 6.7 0.000111111 0.51 364.378 -4.406
2005 1 17 101300 286.15 0.00811381 6.2 0 -0.19 364.775 -6.076
2005 1 17.5 101300 286.05 0.00730419 7.7 0 0.06 351.575 -16.3
2005 1 18 101300 284.85 0.00577736 7.5 0 -1.321 313.598 -48.406
2005 1 18.5 101300 283.75 0.00534148 6.6 0.000111111 -2.033 285.15 -76.356
