V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2004 1 0.5 101300 274.85 0.00304845 1.51025 0 0.261155 -9999.99 -34.9622
2004 1 1 101300 274.787 0.00306251 1.4194 0 0.248297 -9999.99 -40.7987
2004 1 1.5 101300 274.035 0.00284902 1.4192 0 0.238157 -9999.99 -36.0086
2004 1 2 101300 273.938 0.00282256 1.44473 0 0.225519 -9999.99 -34.0696
2004 1 2.5 101300 273.938 0.00280668 1.3328 0 0.213763 -9999.99 -34.4754
2004 1 3 101300 273.858 0.00279451 1.41067 0 0.205461 -9999.99 -38.774
2004 1 3.5 101300 273.938 0.0028373 1.66327 0 0.198848 -9999.99 -38.6796
2004 1 4 101300 273.841 0.00283583 1.78687 0 0.19657 -9999.99 -41.8327
2004 1 4.5 101300 273.788 0.00282794 1.79233 0 0.195982 -9999.99 -43.104
2004 1 5 101300 273.664 0.00280078 2.10327 0 0.197893 -9999.99 -47.5763
2004 1 5.5 101300 273.54 0.0027446 2.4476 0 0.204799 -9999.99 -46.8287
2004 1 6 101300 273.399 0.00267984 2.49513 0 0.204358 -9999.99 -46.018
2004 1 6.5 101300 273.416 0.00262776 2.48007 0 0.226622 -9999.99 -48.2066
2004 1 7 101300 273.416 0.00260671 2.52787 0 0.950243 -9999.99 -50.2517
2004 1 7.5 101300 273.522 0.0026585 2.645 0 5.40986 -9999.99 -40.9503
2004 1 8 101300 273.54 0.00266242 2.54808 0 15.448 -9999.99 -23.2014
2004 1 8.5 101300 273.69 0.00269963 2.43733 0 36.5883 -9999.99 -4.02814
2004 1 9 101300 273.717 0.00269792 2.42645 0 68.4489 -9999.99 20.9017
2004 1 9.5 101300 274.203 0.00281582 2.5344 0 116.666 -9999.99 44.0943
2004 1 10 101300 274.468 0.00286811 2.2838 0 176.153 -9999.99 70.9771
2004 1 10.5 101300 274.327 0.00278798 2.0671 0 239.914 -9999.99 102.272
2004 1 11 101300 274.3 0.00271828 1.9677 0 305.314 -9999.99 136.31
2004 1 11.5 101300 274.424 0.00267272 2.0277 0 373.163 -9999.99 156.091
2004 1 12 101300 274.548 0.00262805 1.85342 0 382.408 -9999.99 181.756
2004 1 12.5 101300 275.194 0.00273518 1.86007 0 386.357 -9999.99 197.867
2004 1 13 101300 275.485 0.00266324 1.88475 0 395.489 -9999.99 201.786
2004 1 13.5 101300 275.857 0.00263715 1.87222 0 371.52 -9999.99 197.931
2004 1 14 101300 274.981 0.00231054 0.2535 0 341.303 -9999.99 195.847
2004 1 14.5 101300 274.787 0.00222837 0.1745 0 301.009 -9999.99 189.74
2004 1 15 101300 274.451 0.00210077 0.1865 0 267.055 -9999.99 184.389
2004 1 15.5 101300 274.371 0.00206197 0.1995 0 222.223 -9999.99 155.574
2004 1 16 101300 273.885 0.00193462 0.2 0 175.605 -9999.99 111.715
2004 1 16.5 101300 273.018 0.0017233 0.193 0 132.197 -9999.99 71.8878
2004 1 17 101300 272.32 0.0015981 0.1895 0 85.6351 -9999.99 32.7548
2004 1 17.5 101300 271.763 0.00153861 0.1915 0 41.794 -9999.99 -10.8799
2004 1 18 101300 271.736 0.00163483 0.189 0 13.1254 -9999.99 -47.0402
2004 1 18.5 101300 271.577 0.0017071 0.191 0 3.18481 -9999.99 -62.2561
2004 1 19 101300 271.374 0.0017521 0.1905 0 0.444171 -9999.99 -68.1953
2004 1 19.5 101300 270.958 0.00174959 0.183 0 0.335347 -9999.99 -70.5254
2004 1 20 101300 270.719 0.00178636 0.1435 0 0.318332 -9999.99 -72.0144
2004 1 20.5 101300 270.666 0.00185443 0.117 0 0.299001 -9999.99 -73.1262
2004 1 21 101300 270.251 0.00182424 0.123 0 0.273714 -9999.99 -73.0257
2004 1 21.5 101300 270.41 0.00193889 0.122 0 0.245383 -9999.99 -72.3041
2004 1 22 101300 270.251 0.0019666 0.128 0 0.216537 -9999.99 -69.5186
2004 1 22.5 101300 269.711 0.00188874 0.1265 0 0.196779 -9999.99 -64.8115
2004 1 23 101300 269.552 0.00188792 0.123 0 0.16693 -9999.99 -62.1891
2004 1 23.5 101300 269.145 0.00183297 0.121 0 0.128459 -9999.99 -60.1606
2004 2 0 101300 269.119 0.00173676 1.42808 0 0.227638 -9999.99 -51.5472
2004 2 0.5 101300 268.986 0.00174136 1.3485 0 0.161775 -9999.99 -45.1167
2004 2 1 101300 269.172 0.001796 0.12 0 0.125758 -9999.99 -43.5637
2004 2 1.5 101300 269.366 0.00184164 0.114 0 0.116243 -9999.99 -42.0459
2004 2 2 101300 269.251 0.0018164 0.108 0 0.105785 -9999.99 -42.9318
2004 2 2.5 101300 269.172 0.00179158 0.111 0 0.0985846 -9999.99 -43.5909
2004 2 3 101300 268.597 0.00169222 0.115 0 0.0918126 -9999.99 -45.4605
2004 2 3.5 101300 268.323 0.00165763 0.1235 0 0.0887695 -9999.99 -44.3051
2004 2 4 101300 267.987 0.0016129 0.125 0 0.0894124 -9999.99 -46.7415
2004 2 4.5 101300 268.181 0.00164521 0.127 0 0.0971272 -9999.99 -48.5282
2004 2 5 101300 268.013 0.00159321 0.1315 0 0.104842 -9999.99 -49.364
2004 2 5.5 101300 267.704 0.00150243 0.13 0 0.1135 -9999.99 -46.6226
2004 2 6 101300 267.766 0.0014919 0.131 0 0.118515 -9999.99 -45.2218
2004 2 6.5 101300 267.907 0.0014857 0.1515 0 0.144917 -9999.99 -43.9139
2004 2 7 101300 268.155 0.00152324 0.1765 0 1.06201 -9999.99 -41.5959
2004 2 7.5 101300 268.402 0.00158361 0.1805 0 6.40128 -9999.99 -33.2062
2004 2 8 101300 268.685 0.00164096 0.179 0 25.293 -9999.99 -18.1245
2004 2 8.5 101300 268.818 0.00165723 0.1825 0 58.7814 -9999.99 5.99858
2004 2 9 101300 269.039 0.00169114 1.83775 0 104.363 -9999.99 36.8275
2004 2 9.5 101300 269.198 0.00169937 1.84733 0 164.845 -9999.99 75.5181
2004 2 10 101300 269.446 0.00171733 1.67967 0 240.76 -9999.99 109.059
2004 2 10.5 101300 269.366 0.00168556 1.53967 0 304.261 -9999.99 141.079
2004 2 11 101300 269.552 0.00170039 1.46947 0 370.924 -9999.99 177.224
2004 2 11.5 101300 269.985 0.00173809 1.5096 0 423.904 -9999.99 210.411
2004 2 12 101300 270.012 0.00166073 1.45735 0 448.261 -9999.99 223.448
2004 2 12.5 101300 269.959 0.00156835 0.2535 0 440.646 -9999.99 231.623
2004 2 13 101300 270.065 0.00149348 0.227333 0 441.864 -9999.99 244.408
2004 2 13.5 101300 270.118 0.00141696 0.876 0 423.047 -9999.99 242.308
2004 2 14 101300 270.33 0.00142156 1.15129 0 400.844 -9999.99 243.377
2004 2 14.5 101300 270.436 0.00138702 0.893143 0 358.177 -9999.99 228.425
2004 2 15 101300 270.542 0.00135836 0.713857 0 300.912 -9999.99 202.832
2004 2 15.5 101300 270.587 0.00133643 0.646714 0 232.599 -9999.99 169.659
2004 2 16 101300 270.463 0.0013025 0.530143 0 178.865 -9999.99 117.805
2004 2 16.5 101300 270.357 0.00128411 0.586 0 141.365 -9999.99 70.0867
2004 2 17 101300 270.251 0.00131061 0.608429 0 91.5579 -9999.99 21.1359
2004 2 17.5 101300 270.118 0.00135481 0.481143 0 42.9523 -9999.99 -19.9796
2004 2 18 101300 270.065 0.00144077 0.284571 0 13.1141 -9999.99 -49.0281
2004 2 18.5 101300 270.038 0.00153906 0.279857 0 2.82848 -9999.99 -63.0552
2004 2 19 101300 270.065 0.00162898 0.305429 0 0.300033 -9999.99 -68.3412
2004 2 19.5 101300 270.065 0.0017116 0.276143 0 0.172237 -9999.99 -69.636
2004 2 20 101300 270.012 0.00178132 0.248429 0 0.148518 -9999.99 -69.7235
2004 2 20.5 101300 270.012 0.00185444 0.455857 0 0.124496 -9999.99 -68.6311
2004 2 21 101300 270.038 0.00191995 0.769857 0 0.0954211 -9999.99 -67.403
2004 2 21.5 101300 270.012 0.0019789 0.788429 0 0.063442 -9999.99 -65.9022
2004 2 22 101300 269.932 0.00201198 0.771286 0 0.0343977 -9999.99 -64.4196
2004 2 22.5 101300 269.906 0.00203957 0.754571 0 0.0121908 -9999.99 -60.7216
2004 2 23 101300 269.906 0.00206826 0.620833 0 -0.0179404 -9999.99 -60.0114
2004 2 23.5 101300 269.932 0.00210371 0.4174 0 -0.0614677 -9999.99 -59.6435
2004 3 0 101300 269.932 0.00204185 0.115 0 0.0400515 -9999.99 -39.0923
2004 3 0.5 101300 269.906 0.00206289 0.694 0 -0.0305077 -9999.99 -42.0011
2004 3 1 101300 269.906 0.00207477 0.939857 0 -0.0734898 -9999.99 -44.6639
2004 3 1.5 101300 269.879 0.00207344 0.832857 0 -0.0885263 -9999.99 -43.3128
2004 3 2 101300 269.906 0.00208169 0.708714 0 -0.10323 -9999.99 -43.0328
2004 3 2.5 101300 269.959 0.00209201 0.658 0 -0.109129 -9999.99 -43.5888
2004 3 3 101300 270.012 0.00212269 0.645571 0 -0.10559 -9999.99 -45.4809
2004 3 3.5 101300 270.065 0.00215071 0.628286 0 -0.0973909 -9999.99 -44.3618
2004 3 4 101300 270.144 0.00218405 0.497 0 -0.0868019 -9999.99 -44.5831
2004 3 4.5 101300 270.118 0.00217626 0.318571 0 -0.0776651 -9999.99 -45.0635
2004 3 5 101300 270.144 0.00217218 0.582286 0 -0.0734597 -9999.99 -46.0069
2004 3 5.5 101300 270.118 0.00214751 0.807143 0 -0.0711301 -9999.99 -45.0656
2004 3 6 101300 270.118 0.00213525 0.514857 0 -0.0672575 -9999.99 -46.1308
2004 3 6.5 101300 270.171 0.002125 0.644286 0 -0.0280173 -9999.99 -46.5668
2004 3 7 101300 270.144 0.00211057 1.04957 0 1.40318 -9999.99 -44.0758
2004 3 7.5 101300 270.224 0.00214077 1.03817 0 8.40411 -9999.99 -33.5425
2004 3 8 101300 270.251 0.00214638 1.198 0 29.6751 -9999.99 -15.0174
2004 3 8.5 101300 270.277 0.00213899 1.80475 0 68.1917 -9999.99 7.25465
2004 3 9 101300 270.41 0.00214518 2.43133 0 121.434 -9999.99 34.7589
2004 3 9.5 101300 270.852 0.00221457 3.098 0 186.1 -9999.99 74.4704
2004 3 10 101300 271.161 0.00225217 2.3255 0 258.155 -9999.99 117.448
2004 3 10.5 101300 271.807 0.00239115 2.493 0 315.128 -9999.99 151.229
2004 3 11 101300 272.143 0.00245012 2.9515 0 384.034 -9999.99 198.286
2004 3 11.5 101300 272.523 0.00250458 3.0495 0 439.735 -9999.99 239.357
