V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2004 1 0.5 101300 282.074 -9999.99 3.21 0 -0.0227679 -9999.99 -69.786
2004 1 1 101300 281.289 -9999.99 2.523 0 -0.0272321 -9999.99 -65.677
2004 1 1.5 101300 280.557 -9999.99 2.919 0 -0.028125 -9999.99 -62.966
2004 1 2 101300 279.736 -9999.99 2.702 0 -0.0285714 -9999.99 -61.199
2004 1 2.5 101300 278.662 -9999.99 2.523 0 -0.028125 -9999.99 -61.024
2004 1 3 101300 277.891 -9999.99 1.596 0 -0.0321429 -9999.99 -63.78
2004 1 3.5 101300 277.183 -9999.99 1.321 0 -0.0352679 -9999.99 -64.733
2004 1 4 101300 276.834 -9999.99 1.249 0 -0.0392857 -9999.99 -64.538
2004 1 4.5 101300 276.744 -9999.99 1.368 0 -0.0441964 -9999.99 -64.432
2004 1 5 101300 276.246 -9999.99 1.492 0 -0.0433036 -9999.99 -63.504
2004 1 5.5 101300 275.633 -9999.99 1.373 0 -0.0415179 -9999.99 -63.109
2004 1 6 101300 274.673 -9999.99 1.506 0 -0.0370536 -9999.99 -62.148
2004 1 6.5 101300 273.989 -9999.99 1.782 0 -0.0308036 -9999.99 -61.342
2004 1 7 101300 273.501 -9999.99 1.522 0 -0.0334821 -9999.99 -60.766
2004 1 7.5 101300 273.001 -9999.99 2.04 0 -0.0303571 -9999.99 -60.288
2004 1 8 101300 272.558 -9999.99 2.095 0 -0.0267857 -9999.99 -59.724
2004 1 8.5 101300 272.252 -9999.99 2.137 0 0.581696 -9999.99 -59.06
2004 1 9 101300 272.016 -9999.99 2.06 0 12.7103 -9999.99 -46.015
2004 1 9.5 101300 272.069 -9999.99 1.934 0 42.7563 -9999.99 -8.819
2004 1 10 101300 272.43 -9999.99 1.915 0 104.153 -9999.99 44.997
2004 1 10.5 101300 272.813 -9999.99 2.257 0 159.293 -9999.99 91.374
2004 1 11 101300 273.219 -9999.99 2.453 0 200.283 -9999.99 140.17
2004 1 11.5 101300 273.561 -9999.99 1.846 0 158.465 -9999.99 108.81
2004 1 12 101300 274.075 -9999.99 1.486 0 223.391 -9999.99 159.899
2004 1 12.5 101300 274.562 -9999.99 1.702 0 252.553 -9999.99 189.43
2004 1 13 101300 274.857 -9999.99 1.946 0 229.649 -9999.99 158.908
2004 1 13.5 101300 275.22 -9999.99 2.349 0 183.66 -9999.99 133.169
2004 1 14 101300 275.559 -9999.99 1.897 0 193.41 -9999.99 144.549
2004 1 14.5 101300 275.346 -9999.99 3.032 0 183.94 -9999.99 133.101
2004 1 15 101300 274.911 -9999.99 2.533 0 115.167 -9999.99 84.325
2004 1 15.5 101300 274.439 -9999.99 3.186 0 78.0839 -9999.99 54.317
2004 1 16 101300 274.202 -9999.99 3.334 0 79.2478 -9999.99 57.103
2004 1 16.5 101300 274.036 -9999.99 3.561 0 51.0013 -9999.99 37.604
2004 1 17 101300 273.82 -9999.99 3.381 0 22.5196 -9999.99 15.918
2004 1 17.5 101300 273.646 -9999.99 3.358 0 14.8536 -9999.99 9.5
2004 1 18 101300 273.507 -9999.99 3.376 0 2.76027 -9999.99 2.46
2004 1 18.5 101300 273.583 -9999.99 3.488 0 0.0727679 -9999.99 4.82
2004 1 19 101300 273.679 -9999.99 3.47 0 0.0107143 -9999.99 6.922
2004 1 19.5 101300 273.648 -9999.99 3.98 0 0.0111607 -9999.99 6.905
2004 1 20 101300 273.626 -9999.99 3.827 0 0.0107143 -9999.99 4.844
2004 1 20.5 101300 273.521 -9999.99 4.483 0 0.00535714 -9999.99 2.592
