site startyear endyear PFT expyear lat lon type
DE-Hai 2000 2006 BF 2005 51.0793 10.452 deci
DK-Sor 1996 2006 BF 2006 55.4869 11.6458 deci
FR-Fon 2005 2006 BF 2006 48.4763 2.78015 deci
FR-Hes 1997 2006 BF 2003 48.6742 7.06462 deci
IT-Col 1996 2006 BF 2005 41.8494 13.5881 deci
IT-LMa 2003 2006 BF 2006 45.5813 7.15463 deci
IT-Non 2001 2006 BF 2002 44.6898 11.0887 deci
IT-PT1 2002 2004 BF 2003 45.2009 9.06104 deci
IT-Ro1 2000 2006 BF 2006 42.4081 11.93 deci
IT-Ro2 2002 2006 BF 2004 42.3903 11.9209 deci
UK-Ham 2004 2005 BF 2005 51.1208 -0.86083 deci
UK-PL3 2005 2006 BF 2006 51.45 -1.26667 deci
US-Bar 2004 2005 BF 2005 44.0646 -71.28808 deci
US-Ha1 1991 2006 BF 1996 42.5378 -72.1715 deci
US-MMS 1999 2005 BF 2002 39.3231 -86.4131 deci
US-MOz 2004 2006 BF 2006 38.7441 -92.2 deci
US-UMB 1999 2003 BF 2003 45.5598 -84.7138 deci
US-WCr 1999 2006 BF 2005 45.8059 -90.0799 deci
AU-Tum 2001 2006 EBF 2003 -35.6557 148.152 ever
AU-Wac 2005 2007 EBF 2006 -37.429 145.187 ever
BR-Sa1 2002 2004 EBF 2003 -2.85667 -54.9589 ever
BR-Sa3 2000 2003 EBF 2002 -3.01803 -54.9714 ever
FR-Pue 2000 2006 EBF 2006 43.7414 3.59583 ever
ID-Pag 2002 2003 EBF 2003 2.345 114.036 ever
IT-Cpz 1997 2006 EBF 2004 41.7052 12.3761 ever
IT-Lec 2005 2006 EBF 2006 43.3046 11.2706 ever
PT-Esp 2002 2004 EBF 2004 38.6394 -8.6018 ever
PT-Mi1 2003 2005 EBF 2005 38.5407 -8.0004 ever
