V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2005 1 0.5 101300 277.084 0.00450681 3.00173 0 0 -9999.99 1.144
2005 1 1 101300 277.135 0.00449652 2.78539 0 0 -9999.99 1.3728
2005 1 1.5 101300 277.073 0.00451674 3.12144 0 0 -9999.99 1.0736
2005 1 2 101300 276.969 0.00457139 3.39203 5.55556e-05 0 -9999.99 1.3464
2005 1 2.5 101300 277.11 0.00465055 3.691 5.55556e-05 0 -9999.99 1.1176
2005 1 3 101300 277.162 0.00470095 3.39726 0.000111111 0 -9999.99 0.9328
2005 1 3.5 101300 277.133 0.00471999 3.47157 0.000111111 0 -9999.99 0.66
2005 1 4 101300 277.283 0.00476503 3.4005 5.55556e-05 0 -9999.99 0.44
2005 1 4.5 101300 277.394 0.00478701 3.31116 0.000166667 0 -9999.99 0.4136
2005 1 5 101300 277.5 0.0048128 3.39516 0 0 -9999.99 0.0528
2005 1 5.5 101300 277.528 0.00480842 3.49531 0.000444444 0 -9999.99 -0.0792
2005 1 6 101300 277.59 0.00484855 3.342 0.000222222 0 -9999.99 -0.484
2005 1 6.5 101300 277.591 0.00485753 3.16439 0.000333333 0 -9999.99 -0.8272
2005 1 7 101300 277.617 0.00485754 3.13524 0.000111111 0 -9999.99 -0.5808
2005 1 7.5 101300 277.566 0.0048421 3.17326 0.000111111 0 -9999.99 -0.3432
2005 1 8 101300 277.597 0.00486823 3.40266 0 0 -9999.99 -0.4752
2005 1 8.5 101300 277.626 0.00488163 3.20769 5.55556e-05 1.7544 -9999.99 0.7832
2005 1 9 101300 277.657 0.00490073 2.85987 0 3.5088 -9999.99 3.0184
2005 1 9.5 101300 277.72 0.0049105 3.22976 5.55556e-05 6.1404 -9999.99 2.7456
2005 1 10 101300 277.836 0.00494704 3.09182 0 21.93 -9999.99 16.588
2005 1 10.5 101300 277.912 0.00495417 2.87687 0 21.0528 -9999.99 16.2272
2005 1 11 101300 277.93 0.00495324 2.67515 0 25.4388 -9999.99 22.8272
2005 1 11.5 101300 278.044 0.00496813 2.63004 0 37.7196 -9999.99 22.6952
2005 1 12 101300 278.224 0.00498961 3.06409 0 57.018 -9999.99 45.0208
2005 1 12.5 101300 278.392 0.00497158 3.04217 0 89.4744 -9999.99 70.312
2005 1 13 101300 278.421 0.00495077 3.17992 0 44.7372 -9999.99 37.972
2005 1 13.5 101300 278.335 0.00488107 2.53433 0 39.474 -9999.99 27.3504
2005 1 14 101300 278.246 0.0048145 2.25869 0 26.316 -9999.99 18.304
2005 1 14.5 101300 278.187 0.00481099 2.20618 0 22.8072 -9999.99 15.5584
2005 1 15 101300 277.948 0.00469735 2.34252 0 9.6492 -9999.99 0.7304
2005 1 15.5 101300 277.645 0.00456554 2.78756 0 7.0176 -9999.99 -1.9008
2005 1 16 101300 277.463 0.00452447 2.28556 0 3.5088 -9999.99 -5.2184
2005 1 16.5 101300 277.195 0.00446858 1.50721 0 0.8772 -9999.99 -7.876
2005 1 17 101300 276.95 0.00447766 1.38505 0 0 -9999.99 -8.6064
2005 1 17.5 101300 276.921 0.00446365 1.18401 0 0 -9999.99 -9.9176
2005 1 18 101300 276.821 0.00439784 0.869985 0 0 -9999.99 -11.1496
2005 1 18.5 101300 276.786 0.00435585 1.59467 0 0 -9999.99 -16.2184
2005 1 19 101300 276.741 0.00431771 1.41994 0 0 -9999.99 -13.5256
