V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2004 1 0.5 101300 271.107 0.00293841 1.8 0 0 -9999.99 -17
2004 1 1 101300 271.122 0.00294158 1.9 0 0 -9999.99 -13
2004 1 1.5 101300 271.136 0.00294472 2 0 0 -9999.99 -17
2004 1 2 101300 271.148 0.00294766 1.6 0 0 -9999.99 -19
2004 1 2.5 101300 271.161 0.0029506 2.3 0 0 -9999.99 -25
2004 1 3 101300 271.173 0.00295367 2.6 0 0 -9999.99 -33
2004 1 3.5 101300 271.186 0.00295665 2.3 0 0 -9999.99 -40
2004 1 4 101300 271.199 0.00295952 1.9 0 0 -9999.99 -62
2004 1 4.5 101300 271.209 0.00296212 1.6 0 0 -9999.99 -64
2004 1 5 101300 271.218 0.00296442 1.5 0 0 -9999.99 -62
2004 1 5.5 101300 271.225 0.00296659 1.4 0 0 -9999.99 -43
2004 1 6 101300 271.233 0.00296883 1.4 0 0 -9999.99 -24
2004 1 6.5 101300 271.24 0.00297088 1.8 0 0 -9999.99 -50
2004 1 7 101300 271.247 0.00297301 1.1 0 0 -9999.99 -64
2004 1 7.5 101300 271.253 0.00297503 1.2 0 0 -9999.99 -62
2004 1 8 101300 271.259 0.00297687 0.9 0 0 -9999.99 -48
2004 1 8.5 101300 271.244 0.00297375 0.6 0 3 -9999.99 -8
2004 1 9 101300 271.246 0.00297391 0.4 0 7 -9999.99 -2
2004 1 9.5 101300 271.31 0.00298437 1.3 0 17 -9999.99 6
2004 1 10 101300 271.311 0.00295015 2 0 20 -9999.99 9
2004 1 10.5 101300 271.205 0.00292117 1.7 0 25 -9999.99 12
2004 1 11 101300 271.182 0.00291995 1.4 0 28 -9999.99 14
2004 1 11.5 101300 271.445 0.00295263 1.5 0 54 -9999.99 31
2004 1 12 101300 271.814 0.003026 1.6 0 80 -9999.99 43
2004 1 12.5 101300 271.604 0.00298845 1.7 0 65 -9999.99 36
2004 1 13 101300 271.527 0.00298344 1.3 0 50 -9999.99 19
2004 1 13.5 101300 272.531 0.00318056 1.3 0 93 -9999.99 23
2004 1 14 101300 270.55 0.00283878 1.4 0 40 -9999.99 6
2004 1 14.5 101300 270.517 0.00282659 1.1 0 33 -9999.99 0
2004 1 15 101300 270.4 0.00282256 1 0 19 -9999.99 -9
2004 1 15.5 101300 270.15 0.00275537 1.6 0 5 -9999.99 -14
2004 1 16 101300 270 0.00270959 1.7 0 1 -9999.99 -27
2004 1 16.5 101300 269.95 0.00269947 1.8 0 0 -9999.99 -20
2004 1 17 101300 269.875 0.00268433 1.9 0 0 -9999.99 -13
2004 1 17.5 101300 269.79 0.00266726 2 0 0 -9999.99 -41
2004 1 18 101300 269.683 0.00264596 1.7 0 0 -9999.99 -18
2004 1 18.5 101300 269.564 0.00262627 1.3 0 0 -9999.99 -25
2004 1 19 101300 269.45 0.00260667 1.2 0 0 -9999.99 -43
2004 1 19.5 101300 269.339 0.00258717 1.6 0 0 -9999.99 -53
2004 1 20 101300 269.21 0.00256386 1.5 0 0 -9999.99 -60
