site startyear endyear PFT expyear lat lon
DE-Gri 2005 2006 GRA 2006 50.9495 13.5125
DK-Lva 2005 2006 GRA 2006 55.6833 12.0833
ES-LMa 2004 2006 SAV 2006 39.9415 -5.77336
HU-Bug 2002 2006 GRA 2006 46.6911 19.6013
HU-Mat 2004 2006 GRA 2006 47.8469 19.726
IT-Amp 2002 2006 GRA 2006 41.9041 13.6052
PL-wet 2004 2005 WET 2005 52.7622 16.3094
PT-Mi2 2004 2006 GRA 2006 38.4765 -8.02455
US-Bkg 2004 2006 GRA 2006 44.3453 -96.8362
US-FPe 2000 2006 GRA 2002 48.3079 -105.101
US-Goo 2002 2006 GRA 2006 34.25 -89.97
