V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
1999 1 0.5 101300 294.955 0.0135706 1.6325 0 0 -9999.99 -69.88
1999 1 1 101300 294.754 0.0136441 1.542 0 0 -9999.99 -69.014
1999 1 1.5 101300 294.406 0.0137752 1.5 0 0 -9999.99 -67.148
1999 1 2 101300 294.196 0.0138927 1.416 0 0 -9999.99 -65.868
1999 1 2.5 101300 294.052 0.0139416 1.486 0 0 -9999.99 -65.16
1999 1 3 101300 293.918 0.013958 1.352 0 0 -9999.99 -64.294
1999 1 3.5 101300 293.926 0.0139381 1.234 0 0 -9999.99 -57.524
1999 1 4 101300 293.958 0.0139162 0.96 0 0 -9999.99 -54.35
1999 1 4.5 101300 293.902 0.0138789 0.822 0 0 -9999.99 -54.036
1999 1 5 101300 293.832 0.013849 0.678 0 0 -9999.99 -53.634
1999 1 5.5 101300 293.754 0.0138051 0.7 0 0.46 -9999.99 -52.82
1999 1 6 101300 293.628 0.0137577 0.846 0 11.08 -9999.99 -52.63
1999 1 6.5 101300 293.782 0.0137573 1.042 0 42.75 -9999.99 -32.484
1999 1 7 101300 294.334 0.0137249 1.156 0 98.182 -9999.99 12.198
1999 1 7.5 101300 295.206 0.0136085 1.206 0 177.772 -9999.99 79.508
1999 1 8 101300 296.328 0.0134913 1.264 0 281.752 -9999.99 169.164
1999 1 8.5 101300 297.608 0.0134571 1.422 0 399.168 -9999.99 275.008
1999 1 9 101300 298.68 0.0133764 1.616 0 515.88 -9999.99 382.454
1999 1 9.5 101300 299.53 0.0132595 1.77 0 627.09 -9999.99 484.81
1999 1 10 101300 300.174 0.0132095 1.978 0 730.636 -9999.99 578.434
1999 1 10.5 101300 300.752 0.01315 2.146 0 821.552 -9999.99 657.778
1999 1 11 101300 301.328 0.0129921 2.086 0 901.91 -9999.99 725.352
1999 1 11.5 101300 302.002 0.0128033 2.014 0 977.278 -9999.99 788.326
1999 1 12 101300 302.546 0.0125378 2.008 0 966.772 -9999.99 778.84
1999 1 12.5 101300 303.076 0.0122293 1.992 0 979.545 -9999.99 777.912
1999 1 13 101300 303.446 0.012007 2.092 0 885.335 -9999.99 713.168
1999 1 13.5 101300 303.796 0.0117996 2.21 0 862.703 -9999.99 698.786
1999 1 14 101300 304.162 0.0115562 2.32 0 815.9 -9999.99 665.262
1999 1 14.5 101300 304.538 0.0113708 2.474 0 804.287 -9999.99 652.648
1999 1 15 101300 304.818 0.0111166 2.804 0 775.97 -9999.99 604.368
1999 1 15.5 101300 305.168 0.0108009 3.044 0 775.508 -9999.99 598.586
1999 1 16 101300 305.287 0.0103594 3.08167 0 647.292 -9999.99 487.835
1999 1 16.5 101300 305.23 0.0100726 2.99143 0 522.31 -9999.99 377.039
1999 1 17 101300 305.131 0.00987959 2.795 0 421.945 -9999.99 287.008
1999 1 17.5 101300 304.974 0.00986292 2.43444 0 326.019 -9999.99 200.836
1999 1 18 101300 304.566 0.00996251 2.073 0 237.18 -9999.99 122.94
1999 1 18.5 101300 303.772 0.0103872 1.834 0 141.415 -9999.99 36.211
1999 1 19 101300 302.748 0.0109311 1.599 0 71.019 -9999.99 -24.914
1999 1 19.5 101300 301.591 0.0115727 1.529 0 25.657 -9999.99 -62.131
1999 1 20 101300 300.421 0.0121315 1.608 0 3.526 -9999.99 -77.884
