V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2001 1 0.5 101300 293.32 0.00218082 3.12723 0 -2.063 375.7 -9999.99
2001 1 1 101300 293.25 0.00211799 3.14264 0 -1.955 374.9 -9999.99
2001 1 1.5 101300 293.14 0.00201974 3.16117 0 -1.622 377 -9999.99
2001 1 2 101300 292.88 0.00178988 3.18193 0 -1.88 379.3 -9999.99
2001 1 2.5 101300 292.73 0.00165876 3.20307 0 -2.089 382.7 -9999.99
2001 1 3 101300 292.71 0.00164136 3.22557 0 -2.51 381.6 -9999.99
2001 1 3.5 101300 292.5 0.00145982 3.24994 0 -1.998 377.2 -9999.99
2001 1 4 101300 292.15 0.00116192 3.26225 0 -2.04 380 -9999.99
2001 1 4.5 101300 292.12 0.00113665 3.27362 0 -1.812 388.9 -9999.99
2001 1 5 101300 292.15 0.00116192 3.28483 0 -1.139 391.6 -9999.99
2001 1 5.5 101300 292.25 0.00122941 3.27836 0 13.18 393.8 -9999.99
2001 1 6 101300 292.45 0.000299693 4.10412 0 33.81 374.8 -9999.99
2001 1 6.5 101300 293.68 -0.000425571 5.44238 0 202.6 385.9 -9999.99
2001 1 7 101300 294.84 0.00195587 4.00176 0 70.6 404.1 -9999.99
2001 1 7.5 101300 294.67 0.00232114 4.29789 0 31.7 413.3 -9999.99
2001 1 8 101300 294.68 0.00254323 4.10807 0.00169333 20.23 418.4 -9999.99
2001 1 8.5 101300 293.28 -1.68737e-05 4.72453 0 134.3 417.7 -9999.99
2001 1 9 101300 294.61 0.000136812 5.7547 0 322.1 429.2 -9999.99
2001 1 9.5 101300 295.98 -0.000904789 3.2758 0 589.3 418.4 -9999.99
2001 1 10 101300 296.45 -0.00119458 5.50373 0 380.7 413 -9999.99
2001 1 10.5 101300 297.32 -0.0032386 1.6865 0 639.5 416.1 -9999.99
2001 1 11 101300 299 0.00188385 4.3285 0 834 420.2 -9999.99
2001 1 11.5 101300 299.65 -0.00131255 1.606 0 677.5 423.1 -9999.99
2001 1 12 101300 299.68 0.00216164 5.3155 0 457.3 428.3 -9999.99
2001 1 12.5 101300 299.89 0.000872101 5.37857 0 342 429.2 -9999.99
2001 1 13 101300 299.95 0.00645736 4.89064 0 307.7 428.9 -9999.99
2001 1 13.5 101300 300.6 0.00372332 5.50373 0 381 431.2 -9999.99
2001 1 14 101300 301.21 0.00488831 5.23015 0 369.3 428.9 -9999.99
2001 1 14.5 101300 301.57 0.00538383 5.68231 0 385.2 425.1 -9999.99
2001 1 15 101300 302 0.00827967 4.17429 0 531.4 422.9 -9999.99
2001 1 15.5 101300 303.33 0.00693012 3.95829 0 699 420.2 -9999.99
2001 1 16 101300 303.53 0.00974896 4.28471 0 556.2 416.5 -9999.99
2001 1 16.5 101300 303.38 0.0108996 5.45533 0 318.2 419.5 -9999.99
2001 1 17 101300 303.19 0.01061 5.92417 0 323.6 408.1 -9999.99
2001 1 17.5 101300 302.08 0.00987056 4.30156 0 112.8 412.6 -9999.99
2001 1 18 101300 302.25 0.00992849 4.87988 0 147 414.9 -9999.99
2001 1 18.5 101300 300.69 0.00945331 4.31372 0 43.07 401.6 -9999.99
2001 1 19 101300 299.54 0.0088368 3.31213 0 0.345 400.4 -9999.99
2001 1 19.5 101300 298.54 0.00745635 3.31818 0 -2.36 409.9 -9999.99
2001 1 20 101300 294.12 0.00293867 3.31213 0 -1.047 398.1 -9999.99
2001 1 20.5 101300 292.76 0.00185434 3.31213 0 -0.924 400.4 -9999.99
2001 1 21 101300 292.18 0.00143947 3.31213 0 -0.637 406.5 -9999.99
2001 1 21.5 101300 291.5 0.000939726 3.31213 0 -0.803 402.1 -9999.99
2001 1 22 101300 291.4 0.000887051 3.31213 0 -0.914 398.9 -9999.99
2001 1 22.5 101300 291.08 0.000643681 3.31818 0.000282222 -1.979 396.3 -9999.99
2001 1 23 101300 289.05 -0.000881412 3.31213 0.00225778 -0.898 395.5 -9999.99
2001 1 23.5 101300 289.01 -0.000926301 3.31213 0.00183444 -0.673 396.5 -9999.99
2001 2 0 101300 289.11 -0.000869403 3.31213 0.000423333 -0.843 396.5 -9999.99
2001 2 0.5 101300 289.06 -0.000923181 3.31213 0.000282222 -0.771 394.7 -9999.99
2001 2 1 101300 288.91 -0.00104374 3.31213 0.00155222 -0.905 395.1 -9999.99
2001 2 1.5 101300 288.66 -0.00123152 3.31213 0.000564444 -0.814 394.6 -9999.99
2001 2 2 101300 288.65 -0.00125127 3.31213 0.000423333 -0.921 394.3 -9999.99
2001 2 2.5 101300 288.46 -0.00139555 3.31213 0 -1.088 392.4 -9999.99
2001 2 3 101300 288.45 -0.00142179 3.29436 0 -0.784 391.7 -9999.99
2001 2 3.5 101300 288.5 -0.00140761 3.27922 0 -0.487 392.1 -9999.99
2001 2 4 101300 288.54 -0.00139349 3.25787 0 -0.513 392.4 -9999.99
2001 2 4.5 101300 288.7 -0.00129565 3.23781 0 -0.444 393.2 -9999.99
2001 2 5 101300 288.87 -0.00118548 3.22242 0 -0.278 394.3 -9999.99
2001 2 5.5 101300 289.1 -0.00105557 3.23084 0 3.44 395 -9999.99
2001 2 6 101300 289.48 -0.00144053 4.25555 0 26.47 395 -9999.99
2001 2 6.5 101300 289.84 -0.0015277 4.09809 0 71.5 397.8 -9999.99
