V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2003 1 0.5 101300 250.95 0.000515568 1.26 0 -0.78 201.8 -26.76
2003 1 1 101300 250.85 0.000521035 0.79 0 -1.33 211.5 -15.32
2003 1 1.5 101300 251.05 0.000529076 0.74 0 -0.73 206 -22.06
2003 1 2 101300 251.05 0.000526527 0.72 0 -0.27 210.1 -18.3
2003 1 2.5 101300 251.45 0.000559332 0.87 0 0.13 222.3 -8.34
2003 1 3 101300 252.35 0.0006132 0.79 0 -0.13 221.8 -11.73
2003 1 3.5 101300 252.95 0.000643135 0.67 0 0.01 227.1 -7.22
2003 1 4 101300 253.35 0.0006721 0.83 0 -0.06 229.1 -7.25
2003 1 4.5 101300 253.95 0.000706232 0.67 0 -0.7 217.6 -20.02
2003 1 5 101300 253.45 0.000644924 0.37 0 -2.3 193.9 -40.26
2003 1 5.5 101300 251.65 0.000537698 0.89 0 -1.48 194 -36.47
2003 1 6 101300 250.65 0.000499566 1.22 0 -1.57 194.9 -34.09
2003 1 6.5 101300 250.15 0.000473691 1.03 0 -2.26 196 -30.08
2003 1 7 101300 249.55 0.000445019 0.71 0 -1.58 195.8 -28.06
2003 1 7.5 101300 249.25 0.000434263 0.9 0 -1.41 195.8 -26.41
2003 1 8 101300 248.85 0.00041783 0.88 0 -1.4 195.1 -27.2
2003 1 8.5 101300 248.65 0.000414452 1.14 0 -0.13 197.2 -26.87
2003 1 9 101300 248.95 0.000430598 0.91 0 -1.15 198.6 -27.74
2003 1 9.5 101300 248.95 0.000428486 0.96 0 2.57 198.5 -26.38
2003 1 10 101300 249.25 0.00044186 0.88 0 44.69 200.2 -9.99
2003 1 10.5 101300 250.25 0.000511172 0.84 0 106.1 202.8 22.78
2003 1 11 101300 253.65 0.00071138 0.63 0 156.2 202.7 52.87
2003 1 11.5 101300 256.45 0.000904408 0.67 0 195.3 203 78.2
2003 1 12 101300 258.45 0.001058 1.3 0 214.2 199.7 86.1
2003 1 12.5 101300 259.95 0.00119957 1.41 0 264.3 197 119
2003 1 13 101300 262.15 0.00138122 1.47 0 160.7 206 58.09
2003 1 13.5 101300 263.85 0.00153464 1.12 0 234 226.5 128.91
2003 1 14 101300 265.45 0.001727 1.13 0 114.9 198.3 12.89
2003 1 14.5 101300 265.55 0.001732 1.17 0 215.2 191.3 81.31
2003 1 15 101300 264.75 0.0016611 1.49 0 178.6 176 38
2003 1 15.5 101300 264.65 0.00168574 1.38 0 138.6 175.4 3.36
2003 1 16 101300 264.45 0.00170821 1.17 0 90.8 176.6 -32.53
2003 1 16.5 101300 264.05 0.00166664 1.46 0 37.38 177.1 -67.18
2003 1 17 101300 262.95 0.00154151 1.67 0 5.18 177.9 -82.93
2003 1 17.5 101300 261.65 0.00136431 1.77 0 -1.74 178.5 -82.8
2003 1 18 101300 260.05 0.001182 1.97 0 -2.07 180.7 -77.15
2003 1 18.5 101300 258.85 0.00106748 1.4 0 -2.26 185.6 -69.17
2003 1 19 101300 257.05 0.000863552 1.27 0 -2.41 191.7 -56.9
2003 1 19.5 101300 255.15 0.00074999 1.48 0 -2.72 195 -49.02
2003 1 20 101300 254.35 0.000717363 1.63 0 -2.56 199.4 -43.81
