V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2005 1 0.5 101300 278.575 0.00503748 3.5145 0 0 -9999.99 -6.741
2005 1 1 101300 278.525 0.00502457 3.393 0 0 341.857 -6.825
2005 1 1.5 101300 278.626 0.00505046 3.636 0 0 342.915 -6.657
2005 1 2 101300 278.818 0.00507586 3.348 0 0 342.816 -7.503
2005 1 2.5 101300 279.004 0.00505868 3.031 0 0 330.69 -19.824
2005 1 3 101300 278.885 0.00508784 2.921 0 0 327.096 -22.763
2005 1 3.5 101300 278.942 0.00512435 3.274 0 0 331.22 -19.154
2005 1 4 101300 278.944 0.00517657 3.171 0 0 334.912 -15.64
2005 1 4.5 101300 278.9 0.00519972 2.704 0 0 339.217 -11.392
2005 1 5 101300 278.848 0.00526498 2.811 0 0 335.883 -14.266
2005 1 5.5 101300 278.783 0.00526059 2.721 0 0 327.182 -22.334
2005 1 6 101300 278.715 0.00523342 2.641 0 0 332.159 -17.425
2005 1 6.5 101300 278.825 0.00521977 2.98 0 0 333.442 -16.737
2005 1 7 101300 278.937 0.00527816 2.775 0 0 333.973 -16.76
2005 1 7.5 101300 279.009 0.00533489 2.651 0 0 334.28 -16.677
2005 1 8 101300 279.008 0.00534476 2.605 0 0 335.241 -15.664
2005 1 8.5 101300 278.96 0.00536535 2.376 0 0 335.656 -15.098
2005 1 9 101300 278.877 0.00533291 2.853 0 0 310.14 -39.463
2005 1 9.5 101300 278.8 0.0052934 2.855 0 12.786 317.083 -19.681
2005 1 10 101300 279.155 0.00526601 2.756 0 25.078 334.235 7.171
2005 1 10.5 101300 279.342 0.00523954 2.897 0 58.948 323.067 23.818
2005 1 11 101300 279.502 0.00524732 2.61 0 89.019 290.739 18.694
2005 1 11.5 101300 279.903 0.0052484 2.446 0 191.802 283.122 97.514
2005 1 12 101300 280.9 0.00535022 2.518 0 118.763 333.876 79.813
2005 1 12.5 101300 280.782 0.00541083 2.213 0 82.486 342.306 56.568
2005 1 13 101300 280.809 0.00541165 2.621 0 137.112 331.615 93.551
2005 1 13.5 101300 281.375 0.00540855 3.113 0 109.68 342.399 77.303
2005 1 14 101300 281.505 0.00537088 3.378 0 70.084 349.907 49.615
2005 1 14.5 101300 281.515 0.00544736 3.913 0 127.726 346.717 96.74
2005 1 15 101300 282.077 0.00551213 4.031 0 312.618 313.59 219.157
2005 1 15.5 101300 282.275 0.00554407 4.059 0 192.042 288.33 90.352
2005 1 16 101300 282.035 0.00555534 3.143 0 124.773 293.374 38.438
2005 1 16.5 101300 281.84 0.00561957 3.615 0 58.352 307.731 -3.285
2005 1 17 101300 281.61 0.00571201 3.456 0 26.991 295.732 -41.373
2005 1 17.5 101300 281.512 0.0056462 3.089 0 3.699 339.488 -19.518
2005 1 18 101300 281.412 0.00561392 2.871 0 0 335.878 -25.999
2005 1 18.5 101300 281.23 0.00555889 2.564 0 0 345.738 -15.692
2005 1 19 101300 281.235 0.0055227 2.209 0 0 351.14 -10.683
2005 1 19.5 101300 281.365 0.00538312 2.901 0 0 349.114 -13.403
2005 1 20 101300 281.49 0.00527886 2.903 0 0 316.185 -44.759
2005 1 20.5 101300 281.079 0.00526508 3.154 0 0 309.543 -49.219
2005 1 21 101300 281.254 0.00523083 3.479 0 0 341.783 -19.97
2005 1 21.5 101300 281.742 0.00528141 4.037 0 0 311.737 -50.73
2005 1 22 101300 281.8 0.00521966 3.195 0 0 331.703 -30.988
2005 1 22.5 101300 281.597 0.00525342 3.454 0 0 338.818 -23.97
2005 1 23 101300 281.765 0.00527909 4.034 0 0 345.498 -18.384
2005 1 23.5 101300 281.6 0.00520403 2.947 0 0 339.497 -23.13
2005 2 0 101300 281.565 0.00513497 3.184 0 0 345.905 -16.943
