V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2000 1 0.5 101300 267.753 0.00163311 1.56087 0 -4.46813 -9999.99 -65.8498
2000 1 1 101300 267.936 0.0019698 1.20541 0 -4.64127 -9999.99 -70.512
2000 1 1.5 101300 267.707 0.00196871 1.04583 0 -4.76477 -9999.99 -70.7826
2000 1 2 101300 267.545 0.00194812 1.07849 0 -4.3126 -9999.99 -70.2356
2000 1 2.5 101300 267.307 0.00189773 1.22425 0 -4.16777 -9999.99 -69.4142
2000 1 3 101300 267.281 0.00188294 1.658 0 -4.02937 -9999.99 -69.905
2000 1 3.5 101300 266.937 0.00187034 1.39548 0 -4.32103 -9999.99 -69.6473
2000 1 4 101300 266.873 0.00187462 1.52685 0 -4.7805 -9999.99 -69.8901
2000 1 4.5 101300 266.644 0.00187163 1.44855 0 -4.7146 -9999.99 -68.5317
2000 1 5 101300 266.493 0.00187049 1.6015 0 -4.75453 -9999.99 -67.9246
2000 1 5.5 101300 266.727 0.00187861 1.88354 0 -4.6657 -9999.99 -67.7877
2000 1 6 101300 266.961 0.00187751 2.64683 0 -4.70277 -9999.99 -67.4951
2000 1 6.5 101300 267.14 0.00188046 2.46607 0 -4.75113 -9999.99 -69.1479
2000 1 7 101300 267.2 0.00185005 2.16725 0 -4.76513 -9999.99 -68.5682
2000 1 7.5 101300 267.561 0.00184946 1.95001 0 -4.41533 -9999.99 -65.5868
2000 1 8 101300 267.727 0.00185635 2.36188 0 -2.69093 -9999.99 -68.0235
2000 1 8.5 101300 267.027 0.00182248 2.35338 0 10.6659 -9999.99 -53.7765
2000 1 9 101300 268.818 0.00195118 2.25178 0 95.8243 -9999.99 9.47909
2000 1 9.5 101300 269.225 0.00200952 1.48104 0 131.106 -9999.99 37.3795
2000 1 10 101300 270.876 0.00210993 1.81744 0 228.613 -9999.99 126.968
2000 1 10.5 101300 271.651 0.00208754 1.58939 0 286.793 -9999.99 172.827
2000 1 11 101300 271.873 0.0020536 1.6355 0 276.647 -9999.99 164.398
2000 1 11.5 101300 273.175 0.00204944 1.32269 0 370.203 -9999.99 235.849
2000 1 12 101300 273.572 0.00208276 1.15747 0 329.597 -9999.99 204.513
2000 1 12.5 101300 273.82 0.00198606 1.31914 0 390.363 -9999.99 259.601
2000 1 13 101300 273.839 0.00212376 0.887916 0 374.377 -9999.99 246.968
2000 1 13.5 101300 273.986 0.00214671 1.02107 0 338.297 -9999.99 218.31
2000 1 14 101300 271.868 0.00217957 1.16525 0 163.373 -9999.99 92.4825
2000 1 14.5 101300 270.807 0.00223413 1.30503 0 114.863 -9999.99 56.069
2000 1 15 101300 270.61 0.00213528 1.48793 0 100.763 -9999.99 45.8411
2000 1 15.5 101300 270.287 0.00221326 1.22026 0 49.6787 -9999.99 11.1476
2000 1 16 101300 270.028 0.00218848 1.44819 0 30.6427 -9999.99 -2.655
2000 1 16.5 101300 269.867 0.00211787 1.41787 0 8.93567 -9999.99 -17.2463
2000 1 17 101300 269.791 0.0021186 1.76869 0 -0.673267 -9999.99 -23.7051
2000 1 17.5 101300 270.302 0.00209119 1.72365 0 -1.8504 -9999.99 -28.344
2000 1 18 101300 270.298 0.00204624 1.75697 0 -2.13747 -9999.99 -33.3946
2000 1 18.5 101300 269.851 0.00205763 1.44074 0 -2.3887 -9999.99 -34.2856
2000 1 19 101300 269.455 0.00205044 2.28196 0 -2.90693 -9999.99 -49.4767
2000 1 19.5 101300 269.632 0.00206759 2.092 0 -3.9952 -9999.99 -60.6054
2000 1 20 101300 270.759 0.00201227 2.21237 0 -4.29453 -9999.99 -65.4952
2000 1 20.5 101300 270.718 0.0019924 1.56895 0 -4.7761 -9999.99 -68.8322
2000 1 21 101300 271.004 0.00202735 1.58647 0 -4.8366 -9999.99 -64.1004
2000 1 21.5 101300 271.204 0.00201073 1.59209 0 -4.3459 -9999.99 -66.9701
2000 1 22 101300 271.159 0.00200129 1.74853 0 -4.04213 -9999.99 -49.4247
2000 1 22.5 101300 271.323 0.00200023 1.8005 0 -2.46047 -9999.99 -38.039
2000 1 23 101300 270.751 0.00203823 1.69515 0 -4.54557 -9999.99 -67.9564
2000 1 23.5 101300 271.036 0.00207128 1.5605 0 -4.4861 -9999.99 -66.1551
2000 2 0 101300 271.084 0.00202627 0.780848 0 -4.2192 -9999.99 -69.0019
2000 2 0.5 101300 270.742 0.00212126 1.77177 0 -4.6379 -9999.99 -69.2357
2000 2 1 101300 270.976 0.00218609 2.20122 0 -4.6895 -9999.99 -69.9087
2000 2 1.5 101300 271.145 0.00239937 2.42862 0 -4.9705 -9999.99 -69.9162
2000 2 2 101300 271.118 0.00242968 2.49816 0 -4.48353 -9999.99 -68.6875
2000 2 2.5 101300 270.984 0.00247383 2.51237 0 -4.3257 -9999.99 -69.8047
2000 2 3 101300 271.7 0.00249282 1.9761 0 -3.67817 -9999.99 -70.085
2000 2 3.5 101300 271.648 0.00246581 1.8501 0 -2.8348 -9999.99 -71.9367
