V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2002 1 0.5 101300 266.75 0.00203493 2.95333 0 0 -9999.99 -10.6367
2002 1 1 101300 266.565 0.00201227 2.8125 0 0 -9999.99 -10.3575
2002 1 1.5 101300 266.414 0.00199828 2.736 0 0 -9999.99 -9.504
2002 1 2 101300 266.18 0.00197906 2.7 0 0 -9999.99 -8.768
2002 1 2.5 101300 265.93 0.00194842 2.552 0 0 -9999.99 -8.686
2002 1 3 101300 265.686 0.00193665 2.314 0 0 -9999.99 -7.454
2002 1 3.5 101300 265.5 0.00192044 2.266 0 0 -9999.99 -7.4
2002 1 4 101300 265.234 0.00188457 2.304 0 0 -9999.99 -8.81
2002 1 4.5 101300 264.81 0.00182088 2.296 0 0 -9999.99 -11.424
2002 1 5 101300 264.24 0.0017284 2.488 0 0 -9999.99 -14.752
2002 1 5.5 101300 263.536 0.00162067 2.572 0 0 -9999.99 -17.694
2002 1 6 101300 262.778 0.00151326 2.594 0 0 -9999.99 -18.522
2002 1 6.5 101300 262.072 0.00141982 2.58 0 0 -9999.99 -18.408
2002 1 7 101300 261.673 0.00136778 2.6825 0 0 -9999.99 -18.095
2002 1 7.5 101300 261.347 0.00133125 2.54333 0 0 -9999.99 -16.0033
2002 1 8 101300 261.12 0.00130871 2.405 0 0 -9999.99 -12.98
2002 1 8.5 101300 256.557 0.000864706 2.91 0 0 -9999.99 -5.80833
2002 1 9 101300 255.454 0.000778096 2.92 0 0 -9999.99 -5.282
2002 1 9.5 101300 255.182 0.000757903 2.97 0 1.178 -9999.99 -6.086
2002 1 10 101300 255.018 0.000746285 3.02 0 4.596 -9999.99 -6.468
2002 1 10.5 101300 254.932 0.000739921 3.042 0 11.236 -9999.99 -7.21
2002 1 11 101300 257.098 0.000920817 3.02667 0 19.5133 -9999.99 -7.57
2002 1 11.5 101300 267.78 0.00235584 3.16 0 25.345 -9999.99 -11.19
2002 1 12 101300 268.09 0.00243363 3.02 0 14.34 269.92 -7.42
2002 1 12.5 101300 267.47 0.00227931 3.3 0 36.35 242.01 -14.96
2002 1 13 101300 267.21 0.00220057 3.64 0 40.86 236.28 -17.26
2002 1 13.5 101300 267.13 0.00216552 3.58 0 79.96 209.59 -18.27
2002 1 14 101300 266.82 0.00209347 3.46 0 72.5 212.58 -20.52
2002 1 14.5 101300 266.55 0.00202285 3.45 0 51.47 225.08 -20.01
2002 1 15 101300 266.18 0.00194358 3.7 0 23.38 243.66 -18.29
2002 1 15.5 101300 265.8 0.00192184 2.57 0 15.32 255.42 -11.04
2002 1 16 101300 265.47 0.00191539 1.71 0 5.3 267.1 -4.94
2002 1 16.5 101300 265.37 0.00188588 2.23 0 0 268.17 -6.33
2002 1 17 101300 264.98 0.00182327 2.19 0 0 266.09 -7.05
2002 1 17.5 101300 264.51 0.00175934 2.51 0 0 264.87 -6.39
2002 1 18 101300 264.23 0.00172681 2.59 0 0 263.97 -6.05
2002 1 18.5 101300 264.37 0.00174297 2.55 0 0 -9999.99 -6.22
2002 1 19 101300 268.497 0.00233225 3.60833 0 0 -9999.99 -13.72
2002 1 19.5 101300 269.166 0.0024427 3.898 0 0 -9999.99 -15.55
2002 1 20 101300 268.984 0.00240066 4.114 0 0 -9999.99 -16.058
2002 1 20.5 101300 268.8 0.00233611 4.392 0 0 -9999.99 -17.882
2002 1 21 101300 268.606 0.00225529 4.49 0 0 -9999.99 -19.664
2002 1 21.5 101300 268.428 0.00219456 4.32 0 0 -9999.99 -19.3
2002 1 22 101300 268.28 0.00212887 4.368 0 0 -9999.99 -19.686
2002 1 22.5 101300 268.09 0.00207121 4.228 0 0 -9999.99 -19.746
2002 1 23 101300 267.982 0.00205017 4.0225 0 0 -9999.99 -19.0575
2002 1 23.5 101300 267.87 0.0020354 3.89333 0 0 -9999.99 -17.75
2002 2 0 101300 266.855 0.00206946 2.635 0 0 -9999.99 -9.205
2002 2 0.5 101300 266.75 0.00203493 2.95333 0 0 -9999.99 -10.6367
2002 2 1 101300 266.565 0.00201227 2.8125 0 0 -9999.99 -10.3575
2002 2 1.5 101300 266.414 0.00199828 2.736 0 0 -9999.99 -9.504
2002 2 2 101300 266.18 0.00197906 2.7 0 0 -9999.99 -8.768
2002 2 2.5 101300 265.93 0.00194842 2.552 0 0 -9999.99 -8.686
2002 2 3 101300 265.686 0.00193665 2.314 0 0 -9999.99 -7.454
2002 2 3.5 101300 265.5 0.00192044 2.266 0 0 -9999.99 -7.4
2002 2 4 101300 265.234 0.00188457 2.304 0 0 -9999.99 -8.81
2002 2 4.5 101300 264.81 0.00182088 2.296 0 0 -9999.99 -11.424
2002 2 5 101300 264.24 0.0017284 2.488 0 0 -9999.99 -14.752
2002 2 5.5 101300 263.536 0.00162067 2.572 0 0 -9999.99 -17.694
2002 2 6 101300 262.778 0.00151326 2.594 0 0 -9999.99 -18.522
2002 2 6.5 101300 262.072 0.00141982 2.58 0 0 -9999.99 -18.408
2002 2 7 101300 261.673 0.00136778 2.6825 0 0 -9999.99 -18.095
2002 2 7.5 101300 261.347 0.00133125 2.54333 0 0 -9999.99 -16.0033
2002 2 8 101300 261.12 0.00130871 2.405 0 0 -9999.99 -12.98
2002 2 8.5 101300 256.557 0.000864706 2.91 0 0 -9999.99 -5.80833
2002 2 9 101300 255.454 0.000778096 2.92 0 0 -9999.99 -5.282
2002 2 9.5 101300 255.182 0.000757903 2.97 0 1.178 -9999.99 -6.086
2002 2 10 101300 255.018 0.000746285 3.02 0 4.596 -9999.99 -6.468
2002 2 10.5 101300 254.932 0.000739921 3.042 0 11.236 -9999.99 -7.21
2002 2 11 101300 257.098 0.000920817 3.02667 0 19.5133 -9999.99 -7.57
2002 2 11.5 101300 265.738 0.00197445 2.92 0 20.1875 -9999.99 -10.7725
2002 2 12 101300 268.7 0.00250942 2.66 0 21.905 -9999.99 -5.89
2002 2 12.5 101300 267.35 0.00224627 2.56 0 14.54 267.58 -5.29
2002 2 13 101300 270.05 0.00279763 2.76 0 29.27 269.36 -6.49
2002 2 13.5 101300 270.13 0.0028084 3.52 0 27.5 270.21 -7.86
2002 2 14 101300 270.19 0.00279379 3.09 0 23.18 273.28 -8.37
2002 2 14.5 101300 270.12 0.00278221 3.25 0 18.47 278.21 -7.05
2002 2 15 101300 270.02 0.00279135 2.76 0 18.27 278.74 -6.21
