V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
1997 1 0.5 101300 275.195 0.00417703 0.565 0 -0.318333 -9999.99 -20.2342
1997 1 1 101300 275.194 0.00418855 0.806 0 -0.268667 -9999.99 -18.6713
1997 1 1.5 101300 275.18 0.0042059 1.258 0 -0.0893333 -9999.99 -14.7327
1997 1 2 101300 275.176 0.00418969 1.594 0 -0.0446667 -9999.99 -12.822
1997 1 2.5 101300 275.158 0.00414074 1.962 0 0.0866667 -9999.99 -10.812
1997 1 3 101300 275.124 0.00408454 2.084 0 0.119333 -9999.99 -10.4187
1997 1 3.5 101300 275.054 0.00404944 2.134 0 0.108667 -9999.99 -11.058
1997 1 4 101300 274.946 0.00404368 1.992 0 0.084 -9999.99 -11.946
1997 1 4.5 101300 274.856 0.00405577 1.99 0 0.0946667 -9999.99 -12.3887
1997 1 5 101300 274.816 0.00407069 2.044 0 0.0653333 -9999.99 -12.2293
1997 1 5.5 101300 274.794 0.0040818 2.104 0 0.084 -9999.99 -11.738
1997 1 6 101300 274.764 0.00406296 2.082 0 0.126 -9999.99 -10.71
1997 1 6.5 101300 274.684 0.00401418 1.832 0 0.102667 -9999.99 -9.78067
1997 1 7 101300 274.526 0.0039367 1.586 0 0.00866667 -9999.99 -11.2847
1997 1 7.5 101300 274.352 0.00384676 1.42 0 0.427333 -9999.99 -9.39933
1997 1 8 101300 274.21 0.00376921 1.362 0 2.38733 -9999.99 -7.324
1997 1 8.5 101300 274.058 0.00369449 1.498 0 7.83533 -9999.99 -2.68267
1997 1 9 101300 273.94 0.00362954 1.832 0 14.8953 -9999.99 4.42867
1997 1 9.5 101300 273.922 0.00359169 2.094 0 27.0527 -9999.99 17.1307
1997 1 10 101300 273.918 0.00357002 2.136 0 41.5187 -9999.99 27.7367
1997 1 10.5 101300 273.866 0.00353915 2.056 0 61.4827 -9999.99 42.912
1997 1 11 101300 273.91 0.00353864 1.826 0 79.914 -9999.99 57.73
1997 1 11.5 101300 274.002 0.00356527 1.746 0 91.2433 -9999.99 65.832
1997 1 12 101300 274.104 0.003594 1.666 0 94.964 -9999.99 68.2567
1997 1 12.5 101300 274.238 0.00362705 1.734 0 94.1367 -9999.99 68.0307
1997 1 13 101300 274.765 0.00378068 1.70167 0 88.386 -9999.99 62.7693
1997 1 13.5 101300 276.57 0.00436838 1.055 0 75.1807 -9999.99 51.8333
1997 1 14 101300 276.493 0.00435576 1.18667 0 62.774 -9999.99 42.176
1997 1 14.5 101300 276.462 0.00434243 1.4525 0 52.9787 -9999.99 32.9533
1997 1 15 101300 276.416 0.00432548 1.538 0 40.5006 -9999.99 19.1181
1997 1 15.5 101300 276.306 0.0042925 1.694 0 24.8782 -9999.99 3.77353
1997 1 16 101300 276.208 0.0042557 1.75 0 14.8189 -9999.99 -6.46556
1997 1 16.5 101300 276.11 0.00422652 1.672 0 9.20789 -9999.99 -13.0237
1997 1 17 101300 275.918 0.00417629 1.31 0 12.17 -9999.99 -51.47
1997 1 17.5 101300 275.8 0.00414068 0.978 0 2.305 -9999.99 -51.175
1997 1 18 101300 275.698 0.00411497 0.674 0 -1.095 -9999.99 -44.105
1997 1 18.5 101300 275.6 0.00409743 0.532 0 -1.5 -9999.99 -37.045
1997 1 19 101300 275.58 0.00409238 0.61 0 -1.375 -9999.99 -31.7
1997 1 19.5 101300 275.622 0.00411013 0.652 0 -1.17 -9999.99 -27.22
1997 1 20 101300 275.58 0.00411657 0.728 0 -0.795 -9999.99 -19.99
1997 1 20.5 101300 275.566 0.00412723 0.786 0 -0.875 -9999.99 -22.18
1997 1 21 101300 275.568 0.00413391 0.818 0 -1.125 -9999.99 -27.2
1997 1 21.5 101300 275.526 0.00412536 0.684 0 -1.22 -9999.99 -28.65
1997 1 22 101300 275.52 0.00411595 0.872 0 -1.225 -9999.99 -28.375
1997 1 22.5 101300 275.502 0.0041025 1.02 0 -1.115 -9999.99 -27.105
1997 1 23 101300 275.502 0.00409472 1.12 0 -1.155 -9999.99 -30.445
1997 1 23.5 101300 275.49 0.00408542 1.23667 0 -1.055 -9999.99 -31.815
1997 2 0 101300 275.223 0.00414349 0.36 0 -0.615833 -9999.99 -23.4867
