V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
2000 1 0.5 101300 280.345 0.00561875 1.133 0 -0.967506 -9999.99 -37.15
2000 1 1 101300 280.115 0.00562503 0.642 0 -0.967506 -9999.99 -33.5
2000 1 1.5 101300 279.8 0.00560614 0.686 0 -0.967506 -9999.99 -34.3
2000 1 2 101300 279.59 0.00561456 0.602 0 -0.967506 -9999.99 -31.5
2000 1 2.5 101300 279.45 0.00562052 1.046 0 -0.967506 -9999.99 -28.15
2000 1 3 101300 279.35 0.005616 0.582 0 -0.967506 -9999.99 -24.85
2000 1 3.5 101300 279.18 0.00558092 0.549 0 -0.967506 -9999.99 -23.25
2000 1 4 101300 278.99 0.00556606 0.91 0 -0.967506 -9999.99 -20.9
2000 1 4.5 101300 278.925 0.00557781 0.405 0 -0.967506 -9999.99 -20.85
2000 1 5 101300 278.785 0.00553983 0.067 0 -0.967506 -9999.99 -21.6
2000 1 5.5 101300 278.895 0.00538999 0.161 0 -0.967506 -9999.99 -20.15
2000 1 6 101300 278.45 0.00526006 0.605 0 -0.967506 -9999.99 -23.05
2000 1 6.5 101300 278.39 0.00525323 1.017 0 -0.967506 -9999.99 -23.45
2000 1 7 101300 278.43 0.00523557 0.255 0 -0.967506 -9999.99 -22.8
2000 1 7.5 101300 278.31 0.0052505 0 0 -0.967506 -9999.99 -22.4
2000 1 8 101300 278.295 0.00525104 0.003 0 -0.267506 -9999.99 -20.15
2000 1 8.5 101300 278.18 0.00527762 0.145 0 19.3814 -9999.99 -0.95
2000 1 9 101300 278.55 0.0052901 0.506 0 88.9195 -9999.99 46.6
2000 1 9.5 101300 279.65 0.00551878 0.999 0 175.214 -9999.99 111.25
2000 1 10 101300 281.175 0.00574599 1.512 0 251.217 -9999.99 169.2
2000 1 10.5 101300 282.965 0.00596218 1.825 0 338.755 -9999.99 235
2000 1 11 101300 284.485 0.00609243 1.25 0 410.606 -9999.99 288.4
2000 1 11.5 101300 285.36 0.00590806 2.505 0 431.993 -9999.99 352.35
2000 1 12 101300 286.57 0.00590721 2.158 0 462.974 -9999.99 378.75
2000 1 12.5 101300 286.955 0.00585125 2.288 0 435.262 -9999.99 375.2
2000 1 13 101300 287.82 0.0058381 2.298 0 482.067 -9999.99 417.25
2000 1 13.5 101300 287.77 0.00578424 2.329 0 415.514 -9999.99 344.15
2000 1 14 101300 288.145 0.0058132 1.71 0 454.173 -9999.99 359.5
