site startyear endyear PFT expyear lat lon 
CA-Man 1997 2003 ENF 2001 55.8796 -98.4808
CA-NS1 2002 2005 ENF 2004 55.8792 -98.4839
CA-NS2 2001 2005 ENF 2002 55.9058 -98.5247
CA-NS3 2001 2005 ENF 2004 55.9117 -98.3822
CA-NS4 2002 2004 ENF 2004 55.9117 -98.3822
CA-NS5 2001 2005 ENF 2004 55.8631 -98.485
CA-Qcu 2001 2006 ENF 2005 49.2671 -74.0365
CA-Qfo 2003 2006 ENF 2006 49.6925 -74.3421
CA-SF1 2003 2005 ENF 2004 54.485 -105.818
CA-SF2 2003 2005 ENF 2004 54.2539 -105.878
CA-SF3 2003 2005 ENF 2005 54.0916 -106.005
DE-Bay 1996 1999 ENF 1999 50.1419 11.8669
DE-Har 2005 2006 ENF 2006 47.9344 7.601
DE-Tha 1996 2006 ENF 2005 50.9636 13.5669
DE-Wet 2002 2006 ENF 2006 50.4535 11.4575
ES-ES1 1999 2006 ENF 2005 39.346 -0.31881
FI-Hyy 1996 2006 ENF 2006 61.8474 24.2948
FR-LBr 2003 2006 ENF 2006 44.7171 -0.7693
IL-Yat 2001 2006 ENF 2005 31.345 35.0515
IT-Lav 2000 2002 ENF 2001 45.9553 11.2812
IT-Ren 1999 2006 ENF 2005 46.5878 11.4347
IT-SRo 1999 2006 ENF 2006 43.72786 10.28444
NL-Loo 1996 2006 ENF 2006 52.1679 5.74396
RU-Fyo 1998 2006 ENF 2005 56.46167 32.92389
RU-Zot 2002 2004 ENF 2003 60.8008 89.3508
SE-Fla 1996 1998 ENF 1998 64.1128 19.4569
SE-Nor 1996 1999 ENF 1997 60.0864972 17.47950278
SE-Sk2 2004 2005 ENF 2005 60.12967 17.84006
UK-Gri 1997 1998 ENF 1998 56.60722 -3.79806
US-Blo 1997 2006 ENF 2006 38.8952 -120.633
US-Ho1 1996 2004 ENF 2004 45.2041 -68.7403
US-Me4 1996 2000 ENF 2000 44.4992 -121.622
US-SP1 2000 2001 ENF 2001 29.7381 -82.2188
US-SP2 1998 2004 ENF 2001 29.7648 -82.2448
US-SP3 1999 2004 ENF 2001 29.7548 -82.1633
#US-Wi4 2002 2005 ENF 2004 46.7393 -91.1663
#US-Wi9 2004 2005 ENF 2005 46.6188 -91.0814
#CZ-BK1 2000 2006 ENF 2005 49.5026 18.5384
